Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Année édition
Porto,25,8.0,14,101,33,32.7,12.62,4.12,0.14,0.42,17.6,2,0,0,10.9,10.9,0.12,+3.1,+3.1,2018
Qarabağ FK,20,6.0,2,38,10,26.3,6.33,1.67,0.05,0.20,22.1,3,0,0,2.4,2.4,0.06,-0.4,-0.4,2018
RB Leipzig,19,6.0,9,90,27,30.0,15.00,4.50,0.09,0.30,19.7,3,1,1,9.6,8.8,0.10,-0.6,-0.8,2018
Real Madrid,23,13.0,33,221,85,38.5,17.00,6.54,0.13,0.34,16.5,4,4,4,33.0,29.9,0.14,0.0,-0.9,2018
Roma,20,12.0,20,171,61,35.7,14.25,5.08,0.10,0.28,18.4,8,3,3,19.1,16.7,0.10,+0.9,+0.3,2018
Sevilla,22,10.0,15,157,52,33.1,15.70,5.20,0.08,0.25,17.9,2,2,2,16.1,14.5,0.09,-1.1,-1.5,2018
Shakhtar,20,8.0,11,86,33,38.4,10.75,4.12,0.13,0.33,17.7,3,0,0,9.9,9.9,0.12,+1.1,+1.1,2018
Spartak Moscow,20,6.0,9,76,24,31.6,12.67,4.00,0.12,0.38,19.9,5,0,0,6.8,6.8,0.09,+2.2,+2.2,2018
Sporting CP,21,6.0,7,57,20,35.1,9.50,3.33,0.12,0.35,19.1,3,0,0,7.3,7.3,0.13,-0.3,-0.3,2018
Tottenham,26,8.0,17,117,46,39.3,14.63,5.75,0.15,0.37,17.7,5,0,0,13.1,13.1,0.12,+3.9,+3.9,2018
