Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Année édition
Manchester Utd,23,51.0,6.0,3860,335,989,1887,1017,146,3856,109,68,62.4,41,37.6,1950,10958,5972,128,88,41,92,64,2602,233,2021
Marseille,20,50.0,6.0,3745,421,1357,1773,643,59,3742,98,52,53.1,46,46.9,2167,9810,4859,79,60,14,71,41,2565,189,2021
Midtjylland,22,42.3,6.0,3189,447,1176,1341,716,101,3187,96,62,64.6,34,35.4,1606,8643,4469,89,59,17,100,56,1755,171,2021
Olympiacos,21,49.0,6.0,3723,416,1338,1804,614,74,3723,74,50,67.6,24,32.4,2116,10135,4895,67,50,14,74,55,2477,187,2021
Paris S-G,23,48.3,12.0,7686,980,2838,3474,1457,251,7682,297,175,58.9,122,41.1,4378,22437,11608,215,157,67,195,111,5161,394,2021
Porto,26,39.8,10.3,5228,739,2090,2127,1075,164,5224,182,109,59.9,73,40.1,2574,12609,6076,118,88,30,173,74,3015,246,2021
RB Leipzig,20,52.4,8.0,5396,518,1668,2593,1183,178,5395,112,64,57.1,48,42.9,3047,14864,7304,102,116,26,147,63,3478,323,2021
RB Salzburg,19,48.8,6.0,3724,299,1075,1740,948,142,3724,92,45,48.9,47,51.1,1870,9916,5292,103,85,28,88,49,2151,292,2021
Real Madrid,25,57.6,12.0,9464,779,2526,4695,2321,302,9462,221,147,66.5,74,33.5,5869,29677,14611,281,213,84,151,101,7102,542,2021
Rennes,26,49.5,6.0,3765,346,1183,1766,844,104,3763,95,57,60.0,38,40.0,2023,11068,5454,102,88,24,101,43,2505,214,2021
Sevilla,25,60.3,8.0,5842,441,1495,2857,1534,196,5841,127,76,59.8,51,40.2,3210,16215,8377,137,116,30,126,87,4180,312,2021
Shakhtar,23,45.3,6.0,3682,487,1513,1695,520,58,3682,104,73,70.2,31,29.8,2000,10296,4640,86,67,19,58,74,2571,147,2021
Zenit,21,46.2,6.0,3678,392,1238,1582,896,103,3678,76,45,59.2,31,40.8,1936,10022,5007,90,79,18,92,60,2375,205,2021
