Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Porto,25,8.0,165,117,88,68,9,47,136,34.6,89,84,26,58,120,285,175,3,2018
Qarabağ FK,20,6.0,123,93,76,41,6,46,114,40.4,68,60,28,32,78,201,144,1,2018
RB Leipzig,19,6.0,119,90,47,61,11,42,109,38.5,67,58,10,48,76,195,139,2,2018
Real Madrid,23,13.0,235,152,114,92,29,94,250,37.6,156,157,54,103,149,384,248,4,2018
Roma,20,12.0,206,134,99,83,24,79,217,36.4,138,134,45,89,140,346,217,9,2018
Sevilla,22,10.0,170,102,73,71,26,68,193,35.2,125,95,28,67,119,289,202,1,2018
Shakhtar,20,8.0,128,84,70,46,12,42,131,32.1,89,90,24,66,103,231,171,4,2018
Spartak Moscow,20,6.0,106,66,51,45,10,46,114,40.4,68,72,24,48,91,197,162,2,2018
Sporting CP,21,6.0,111,75,52,51,8,44,95,46.3,51,74,25,49,83,194,112,2,2018
Tottenham,26,8.0,125,85,52,55,18,51,128,39.8,77,76,22,54,92,217,188,1,2018
