Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Année édition
Olympiacos,21,28.7,6,540,90,100,6.0,66,83,42,23,19,46,0.50,2,10,-8,-1.33,4.1,9.5,-5.4,-0.90,2021
Paris S-G,23,27.3,12,"1,080",90,100,12.0,132,82,78,50,19,91,1.58,22,15,+7,+0.58,21.4,18.8,+2.6,+0.22,2021
Porto,26,27.0,10,930,93,100,10.3,110,86,63,45,16,75,1.90,15,9,+6,+0.58,12.5,15.1,-2.6,-0.25,2021
RB Leipzig,20,24.8,8,720,90,100,8.0,88,82,57,31,24,57,1.50,11,16,-5,-0.62,10.6,12.8,-2.2,-0.27,2021
RB Salzburg,19,24.9,6,540,90,100,6.0,66,84,45,22,18,36,0.67,10,17,-7,-1.17,11.2,9.3,+2.0,+0.33,2021
Real Madrid,25,27.9,12,"1,080",90,100,12.0,132,85,96,36,19,81,1.75,19,14,+5,+0.42,19.2,15.6,+3.7,+0.30,2021
Rennes,26,25.7,6,540,90,100,6.0,66,81,38,27,21,45,0.17,3,11,-8,-1.33,7.6,12.4,-4.8,-0.80,2021
Sevilla,25,27.9,8,720,90,100,8.0,88,79,49,38,24,50,1.75,13,13,0,0.00,12.1,11.1,+1.0,+0.12,2021
Shakhtar,23,24.7,6,540,90,100,6.0,66,82,45,22,25,42,1.33,5,12,-7,-1.17,4.7,11.0,-6.3,-1.05,2021
Zenit,21,27.8,6,540,90,100,6.0,66,81,40,26,24,29,0.17,4,13,-9,-1.50,5.6,11.3,-5.7,-0.95,2021
Ajax,19,24.9,6,540,90,100,6.0,66,85,,17,16,25,1.67,12,6,+6,+1.00,7.5,13.8,-6.3,-1.05,2020
Atalanta,23,27.4,9,810,90,100,9.0,99,84,,28,22,40,1.44,17,18,-1,-0.11,17.7,18.9,-1.2,-0.14,2020
Atlético Madrid,21,26.2,9,840,93,100,9.3,99,86,,28,25,40,1.78,13,9,+4,+0.43,15.3,9.1,+6.1,+0.66,2020
Barcelona,24,27.6,9,810,90,100,9.0,99,84,,24,24,48,2.00,15,14,+1,+0.11,14.4,17.9,-3.5,-0.39,2020
Bayern Munich,20,27.0,11,990,90,100,11.0,121,83,,40,20,56,3.00,43,8,+35,+3.18,35.5,10.2,+25.3,+2.30,2020
Benfica,23,24.9,6,540,90,100,6.0,66,84,,18,23,24,1.17,10,11,-1,-0.17,8.1,9.4,-1.3,-0.22,2020
Chelsea,22,25.5,8,720,90,100,8.0,88,84,,22,22,38,1.38,12,16,-4,-0.50,17.5,12.7,+4.7,+0.59,2020
Club Brugge,22,25.4,6,540,90,100,6.0,66,85,,17,19,25,0.50,4,12,-8,-1.33,7.4,10.4,-3.0,-0.51,2020
Dinamo Zagreb,21,25.7,6,540,90,100,6.0,66,86,,18,15,24,0.83,10,13,-3,-0.50,7.5,16.3,-8.8,-1.46,2020
Dortmund,24,25.8,8,720,90,100,8.0,88,87,,22,13,34,1.63,10,11,-1,-0.12,14.4,13.1,+1.4,+0.17,2020
Galatasaray,20,29.7,6,540,90,100,6.0,66,84,,18,22,24,0.33,1,14,-13,-2.17,4.2,16.4,-12.2,-2.03,2020
Genk,20,23.5,6,540,90,100,6.0,66,86,,17,16,25,0.17,5,20,-15,-2.50,6.9,18.2,-11.3,-1.88,2020
Inter,20,27.9,6,540,90,100,6.0,66,85,,18,19,24,1.17,10,9,+1,+0.17,10.0,10.3,-0.3,-0.05,2020
Juventus,23,28.7,8,720,90,100,8.0,88,85,,25,17,35,2.38,14,6,+8,+1.00,12.0,10.9,+1.2,+0.15,2020
Leverkusen,20,26.7,6,540,90,100,6.0,66,85,,17,19,25,1.00,5,9,-4,-0.67,6.7,6.8,0.0,-0.01,2020
Lille,21,23.9,6,540,90,100,6.0,66,85,,18,17,24,0.17,4,14,-10,-1.67,8.8,10.1,-1.3,-0.22,2020
Liverpool,20,27.0,8,750,94,100,8.3,88,88,,24,21,32,1.63,15,12,+3,+0.36,16.2,8.8,+7.4,+0.89,2020
Loko Moscow,20,28.6,6,540,90,100,6.0,66,87,,11,16,31,0.50,4,11,-7,-1.17,6.0,13.1,-7.0,-1.17,2020
Lyon,24,25.0,10,900,90,100,10.0,110,84,,34,18,51,1.40,14,14,0,0.00,12.7,18.4,-5.7,-0.57,2020
Manchester City,23,26.9,9,810,90,100,9.0,99,85,,24,19,49,2.22,21,9,+12,+1.33,25.1,7.9,+17.2,+1.91,2020
Napoli,24,27.1,8,720,90,100,8.0,88,84,,26,21,35,1.63,13,8,+5,+0.62,14.9,11.0,+3.9,+0.48,2020
Olympiacos,17,26.2,6,540,90,100,6.0,66,85,,18,15,24,0.67,8,14,-6,-1.00,7.9,12.1,-4.3,-0.71,2020
Paris S-G,24,27.4,11,990,90,100,11.0,121,85,,35,17,57,2.27,25,6,+19,+1.73,26.2,12.3,+13.9,+1.27,2020
