Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Année édition
Monaco,23,6.0,1967,2716,72.4,36852,15096,805,990,81.3,870,1102,78.9,246,486,50.6,4,4.4,4.5,-0.4,54,190,35,12,277,2018
Napoli,20,6.0,3262,3905,83.5,50276,17517,1730,1908,90.7,1098,1273,86.3,251,401,62.6,6,4.4,5.2,+1.6,51,202,47,9,318,2018
NK Maribor,17,6.0,1855,2388,77.7,33369,13102,894,1037,86.2,688,846,81.3,233,404,57.7,3,3.9,3.4,-0.9,54,97,20,6,150,2018
Olympiacos,22,6.0,1841,2357,78.1,33453,12103,831,941,88.3,687,819,83.9,260,454,57.3,3,2.9,2.6,+0.1,30,139,29,6,168,2018
Paris S-G,19,8.0,4458,5108,87.3,67362,23393,2376,2545,93.4,1399,1555,90.0,366,512,71.5,18,11.8,11.2,+6.2,90,266,91,12,366,2018
Porto,25,8.0,2748,3641,75.5,50660,20497,1152,1364,84.5,1199,1447,82.9,323,617,52.4,13,8.0,8.1,+5.0,74,197,58,16,277,2018
Qarabağ FK,20,6.0,2330,2906,80.2,41633,14745,1067,1198,89.1,924,1065,86.8,272,492,55.3,2,1.7,1.2,+0.3,22,130,19,5,147,2018
RB Leipzig,19,6.0,2534,3298,76.8,41054,16722,1335,1559,85.6,870,1077,80.8,222,433,51.3,5,7.1,5.1,-2.1,73,199,40,2,269,2018
Real Madrid,23,13.0,7204,8371,86.1,125582,40827,3521,3773,93.3,2662,2968,89.7,837,1215,68.9,19,23.7,20.3,-4.7,177,621,146,40,733,2018
Roma,20,12.0,5042,6270,80.4,93890,35027,2154,2466,87.3,2137,2517,84.9,640,1005,63.7,15,14.4,13.3,+0.6,140,458,97,27,560,2018
Sevilla,22,10.0,5197,6304,82.4,85565,30734,2609,2874,90.8,2024,2358,85.8,409,722,56.6,11,13.0,12.6,-2.0,130,439,94,16,601,2018
Shakhtar,20,8.0,3370,4082,82.6,63603,22563,1407,1577,89.2,1435,1597,89.9,452,715,63.2,7,8.1,5.7,-1.1,65,199,40,5,233,2018
Spartak Moscow,20,6.0,2458,3058,80.4,44163,17177,1027,1198,85.7,996,1151,86.5,313,502,62.4,7,5.7,4.7,+1.3,55,193,46,12,264,2018
Sporting CP,21,6.0,2014,2594,77.6,35499,13656,941,1084,86.8,775,938,82.6,229,421,54.4,7,5.2,3.6,+1.8,41,142,26,8,190,2018
Tottenham,26,8.0,3492,4286,81.5,62118,22849,1623,1827,88.8,1365,1555,87.8,394,667,59.1,15,11.5,9.9,+3.5,91,290,67,14,348,2018
