Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Année édition
M'Gladbach,21,8.0,3260,3961,82.3,54291,18153,1575,1736,90.7,1307,1494,87.5,277,495,56.0,9,7.6,5.8,+1.4,56,152,52,8,214,2021
Manchester City,25,13.0,8282,9399,88.1,133374,37276,3992,4290,93.1,3334,3638,91.6,580,841,69.0,18,16.9,17.5,+1.1,125,571,128,11,698,2021
Manchester Utd,23,6.0,2618,3233,81.0,42136,14526,1276,1432,89.1,953,1111,85.8,212,362,58.6,7,6.8,5.5,+0.2,66,184,49,7,235,2021
Marseille,20,6.0,2583,3182,81.2,43802,14773,1249,1391,89.8,1045,1192,87.7,217,439,49.4,0,3.2,3.0,-3.2,37,147,21,7,191,2021
Midtjylland,22,6.0,1797,2548,70.5,34613,13936,725,899,80.6,738,938,78.7,283,547,51.7,2,4.5,3.9,-2.5,41,137,31,8,174,2021
Olympiacos,21,6.0,2498,3153,79.2,43870,15002,1185,1333,88.9,978,1143,85.6,269,479,56.2,2,3.1,3.2,-1.1,30,155,24,8,189,2021
Paris S-G,23,12.0,5198,6236,83.4,80282,29918,2732,2966,92.1,1812,2067,87.7,369,677,54.5,16,15.1,11.7,+0.9,105,290,84,12,402,2021
Porto,26,10.3,3046,4066,74.9,55442,20991,1357,1566,86.7,1183,1413,83.7,385,806,47.8,6,6.7,6.3,-0.7,55,196,57,12,251,2021
RB Leipzig,20,8.0,3496,4469,78.2,59019,21375,1685,1926,87.5,1345,1611,83.5,333,606,55.0,10,8.8,7.8,+1.2,85,232,78,15,323,2021
RB Salzburg,19,6.0,2172,2946,73.7,37091,14715,978,1186,82.5,897,1105,81.2,210,433,48.5,6,8.2,6.8,-2.2,69,202,60,7,297,2021
Real Madrid,25,12.0,7142,8274,86.3,120434,35434,3325,3580,92.9,2692,2971,90.6,738,1074,68.7,13,13.2,14.5,-0.2,131,493,114,21,546,2021
Rennes,26,6.0,2518,3151,79.9,45874,15572,1091,1228,88.8,1069,1247,85.7,293,501,58.5,1,4.9,4.0,-3.9,52,190,39,10,215,2021
Sevilla,25,8.0,4212,5040,83.6,74377,21580,1938,2125,91.2,1670,1873,89.2,470,731,64.3,8,8.1,8.6,-0.1,91,267,68,33,314,2021
Shakhtar,23,6.0,2588,3078,84.1,46468,14087,1028,1131,90.9,1216,1338,90.9,250,438,57.1,3,3.9,2.2,-0.9,31,115,13,2,147,2021
Zenit,21,6.0,2394,3026,79.1,42918,15831,1053,1217,86.5,963,1120,86.0,292,490,59.6,3,5.0,5.2,-2.0,46,161,47,17,206,2021
Ajax,19,6.0,2592,3278,79.1,40831,15061,1360,1537,88.5,843,996,84.6,233,441,52.8,10,6.8,7.2,+3.2,62,189,70,15,273,2020
Atalanta,23,9.0,3406,4327,78.7,56381,19444,1728,1977,87.4,1190,1445,82.4,338,603,56.1,9,10.8,9.2,-1.8,88,248,81,18,333,2020
Atlético Madrid,21,9.3,3470,4514,76.9,57710,21604,1746,2001,87.3,1201,1484,80.9,359,670,53.6,9,10.0,10.8,-1.0,89,242,81,10,385,2020
Barcelona,24,9.0,5214,6023,86.6,86873,25778,2572,2828,90.9,2063,2255,91.5,441,644,68.5,10,11.5,9.7,-1.5,77,392,81,8,407,2020
Bayern Munich,20,11.0,6436,7516,85.6,115971,36605,2739,3024,90.6,2854,3161,90.3,692,1000,69.2,37,25.3,21.6,+11.7,175,498,167,33,694,2020
Benfica,23,6.0,2545,3168,80.3,42740,15761,1228,1386,88.6,956,1124,85.1,260,431,60.3,5,6.3,5.5,-1.3,60,194,44,5,266,2020
Chelsea,22,8.0,3532,4286,82.4,60083,21247,1660,1846,89.9,1302,1515,85.9,387,584,66.3,7,12.5,9.5,-5.5,99,227,74,24,355,2020
