Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Année édition
Villarreal,25,12.0,196,16.33,131,22,15,14,9,5,30,2.50,20,2,0,5,2,1,2022
Wolfsburg,21,6.0,69,11.50,49,11,1,1,7,0,7,1.17,4,2,0,1,0,0,2022
Young Boys,24,6.0,129,21.50,95,11,8,8,2,5,11,1.83,8,2,0,0,0,1,2022
Zenit,21,6.0,143,23.83,111,13,4,6,7,2,17,2.83,13,0,2,1,1,0,2022
Ajax,19,6.0,145,24.17,113,9,10,4,3,6,20,3.33,18,1,0,1,0,0,2020
Atalanta,23,9.0,216,24.00,144,21,18,15,15,3,28,3.11,19,1,3,1,4,0,2020
Atlético Madrid,21,9.3,222,23.79,158,26,11,11,10,6,23,2.46,15,4,0,2,1,1,2020
Barcelona,24,9.0,188,20.89,144,8,13,8,13,2,22,2.44,15,1,3,1,1,1,2020
Bayern Munich,20,11.0,411,37.36,317,23,20,26,14,11,73,6.64,56,2,5,5,3,2,2020
Benfica,23,6.0,145,24.17,101,16,8,7,10,3,12,2.00,12,0,0,0,0,0,2020
Chelsea,22,8.0,228,28.50,158,20,20,20,7,3,21,2.62,12,1,3,4,1,0,2020
Club Brugge,22,6.0,111,18.50,79,11,5,6,9,1,6,1.00,5,0,0,0,0,1,2020
Dinamo Zagreb,21,6.0,90,15.00,66,4,9,3,6,2,18,3.00,15,0,1,1,1,0,2020
Dortmund,24,8.0,168,21.00,137,6,7,9,6,3,18,2.25,15,0,1,1,0,1,2020
Galatasaray,20,6.0,88,14.67,61,5,8,4,8,2,2,0.33,2,0,0,0,0,0,2020
Genk,20,6.0,119,19.83,79,14,12,5,8,1,8,1.33,5,1,0,1,1,0,2020
Inter,20,6.0,131,21.83,99,10,10,3,7,2,16,2.67,13,0,2,1,0,0,2020
Juventus,23,8.0,197,24.62,142,12,19,7,15,2,21,2.62,16,0,1,3,1,0,2020
Leverkusen,20,6.0,143,23.83,109,11,8,9,5,1,4,0.67,3,0,0,0,1,0,2020
Lille,21,6.0,137,22.83,102,11,8,8,5,3,6,1.00,3,1,1,1,0,0,2020
Liverpool,20,8.3,255,30.60,191,16,23,18,4,3,27,3.24,19,1,5,2,0,0,2020
Loko Moscow,20,6.0,89,14.83,67,7,5,8,1,1,3,0.50,1,0,0,2,0,0,2020
Lyon,24,10.0,207,20.70,146,13,24,9,10,5,25,2.50,18,0,2,1,2,2,2020
Manchester City,23,9.0,268,29.78,203,13,25,12,10,5,37,4.11,31,0,2,1,2,1,2020
Napoli,24,8.0,197,24.62,143,19,7,15,9,4,20,2.50,15,0,1,1,3,0,2020
Olympiacos,17,6.0,139,23.17,99,10,20,4,4,2,14,2.33,6,2,2,0,2,2,2020
Paris S-G,24,11.0,239,21.73,183,15,13,9,15,4,47,4.27,36,2,3,2,3,1,2020
RB Leipzig,25,10.0,282,28.20,224,14,13,16,12,3,30,3.00,23,0,0,3,4,0,2020
RB Salzburg,21,6.0,162,27.00,122,13,11,9,3,4,29,4.83,22,1,2,1,2,1,2020
