Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
7,Sergio Asenjo,es ESP,GK,Atlético Madrid,20,1989,5,5,450,5.0,10,2.00,20,10,50.0,0,3,2,1,20.0,,,,,,2009-2010
8,Vlada Avramov,rs SRB,GK,Fiorentina,30,1979,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,,,,,,2009-2010
9,Diego Benaglio,ch SUI,GK,Wolfsburg,25,1983,6,6,540,6.0,8,1.33,28,20,71.4,2,1,3,2,33.3,,,,,,2009-2010
10,Beto,pt POR,GK,Porto,27,1982,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,,,,,,2009-2010
11,Stanislav Bohush,ua UKR,GK,Dynamo Kyiv,25,1983,2,2,180,2.0,4,2.00,9,5,55.6,0,1,1,0,0.0,,,,,,2009-2010
12,Sinan Bolat,tr TUR,GK,Standard Liège,20,1988,6,6,540,6.0,9,1.50,44,35,79.5,1,2,3,1,16.7,,,,,,2009-2010
13,Gianluigi Buffon,it ITA,GK,Juventus,31,1978,6,6,540,6.0,7,1.17,29,22,75.9,2,2,2,3,50.0,,,,,,2009-2010
14,Hans-Jörg Butt,de GER,GK,Bayern Munich,35,1974,13,13,"1,170",13.0,15,1.15,54,39,72.2,7,1,5,5,38.5,,,,,,2009-2010
15,Cédric Carrasso,fr FRA,GK,Bordeaux,27,1981,9,9,775,8.6,5,0.58,34,29,85.3,7,0,1,5,55.6,,,,,,2009-2010
16,Iker Casillas,es ESP,GK,Real Madrid,28,1981,8,8,720,8.0,9,1.13,27,18,66.7,4,2,2,2,25.0,,,,,,2009-2010
17,Diego Cavalieri,br BRA,GK,Liverpool,26,1982,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,,,,,,2009-2010
18,Petr Čech,cz CZE,GK,Chelsea,27,1982,6,6,512,5.7,4,0.70,26,22,84.6,4,1,1,4,66.7,,,,,,2009-2010
19,Júlio César,br BRA,GK,Inter,29,1979,13,13,"1,170",13.0,9,0.69,49,40,81.6,8,3,2,6,46.2,,,,,,2009-2010
20,Dionisis Chiotis,gr GRE,GK,APOEL FC,32,1977,6,6,540,6.0,7,1.17,43,36,83.7,0,3,3,1,16.7,,,,,,2009-2010
21,Nir Davidovich,il ISR,GK,Maccabi Haifa,32,1976,6,6,540,6.0,8,1.33,34,26,76.5,0,0,6,0,0.0,,,,,,2009-2010
22,Edwin van der Sar,nl NED,GK,Manchester Utd,38,1970,6,6,540,6.0,9,1.50,34,25,73.5,4,1,1,2,33.3,,,,,,2009-2010
23,Dida,br BRA,GK,Milan,35,1973,5,5,450,5.0,8,1.60,18,10,55.6,1,3,1,1,20.0,,,,,,2009-2010
24,Łukasz Fabiański,pl POL,GK,Arsenal,24,1985,2,2,180,2.0,3,1.50,9,6,66.7,0,0,2,0,0.0,,,,,,2009-2010
25,Ben Foster,eng ENG,GK,Manchester Utd,26,1983,2,2,180,2.0,1,0.50,5,4,80.0,1,0,1,1,50.0,,,,,,2009-2010
26,Sébastien Frey,fr FRA,GK,Fiorentina,29,1980,7,7,630,7.0,9,1.29,41,32,78.0,5,0,2,2,28.6,,,,,,2009-2010
27,David de Gea,es ESP,GK,Atlético Madrid,18,1990,1,0,64,0.7,2,2.81,4,2,50.0,0,0,1,0,,,,,,,2009-2010
28,Henrique Hilário,pt POR,GK,Chelsea,33,1975,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,,,,,,2009-2010
29,Tomasz Kuszczak,pl POL,GK,Manchester Utd,27,1982,2,2,180,2.0,2,1.00,8,6,75.0,2,0,0,0,0.0,,,,,,2009-2010
30,Jens Lehmann,de GER,GK,Stuttgart,39,1969,8,8,720,8.0,12,1.50,46,34,73.9,2,4,2,0,0.0,,,,,,2009-2010
31,Johnny Leoni,ch SUI,GK,Zürich,25,1984,6,6,540,6.0,14,2.33,38,24,63.2,1,1,4,1,16.7,,,,,,2009-2010
32,Hugo Lloris,fr FRA,GK,Lyon,22,1986,12,12,"1,080",12.0,10,0.83,52,42,80.8,6,2,4,4,33.3,,,,,,2009-2010
33,Steve Mandanda,fr FRA,GK,Marseille,24,1985,6,6,540,6.0,10,1.67,25,15,60.0,2,1,3,1,16.7,,,,,,2009-2010
34,Vito Mannone,it ITA,GK,Arsenal,21,1988,3,3,270,3.0,3,1.00,10,7,70.0,2,1,0,1,33.3,,,,,,2009-2010
35,Dan Matei,ro ROU,DF,Unirea Urziceni,28,1981,1,1,90,1.0,1,1.00,8,7,87.5,1,0,0,0,0.0,,,,,,2009-2010
36,Allan McGregor,sct SCO,GK,Rangers,27,1982,6,6,540,6.0,13,2.17,41,28,68.3,0,2,4,0,0.0,,,,,,2009-2010
