Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
10,Júlio César,br BRA,GK,Inter,27,1979,8,8,720,8.0,7,0.87,29,22,75.9,5,0,3,3,37.5,,,,,,2007-2008
11,Grégory Coupet,fr FRA,GK,Lyon,34,1972,2,2,180,2.0,2,1.00,9,7,77.8,0,1,1,0,0.0,,,,,,2007-2008
12,Carlo Cudicini,it ITA,GK,Chelsea,33,1973,5,5,340,3.8,2,0.53,17,15,88.2,2,0,1,2,40.0,,,,,,2007-2008
13,Gianluca Curci,it ITA,GK,Roma,22,1985,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,,,,,,2007-2008
14,Morgan De Sanctis,it ITA,GK,Sevilla,30,1977,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,,,,,,2007-2008
15,Volkan Demirel,tr TUR,GK,Fenerbahçe,25,1981,10,10,930,10.3,14,1.35,40,26,65.0,5,2,3,3,30.0,,,,,,2007-2008
16,Edwin van der Sar,nl NED,GK,Manchester Utd,36,1970,10,10,877,9.7,4,0.41,41,37,90.2,7,3,0,7,70.0,,,,,,2007-2008
17,Dida,br BRA,GK,Milan,33,1973,4,4,359,4.0,4,1.00,23,19,82.6,2,1,1,1,25.0,,,,,,2007-2008
18,Doni,br BRA,GK,Roma,27,1979,9,9,810,9.0,10,1.11,43,33,76.7,5,2,2,1,11.1,,,,,,2007-2008
19,Tiago Ferreira,pt POR,GK,Sporting CP,32,1975,2,2,180,2.0,4,2.00,9,5,55.6,0,0,2,0,0.0,,,,,,2007-2008
20,Heurelho Gomes,br BRA,GK,PSV Eindhoven,26,1981,6,6,540,6.0,6,1.00,24,18,75.0,2,1,3,2,33.3,,,,,,2007-2008
21,Henrique Hilário,pt POR,GK,Chelsea,31,1975,1,0,64,0.7,0,0.00,2,2,100.0,0,0,0,1,,,,,,,2007-2008
22,Timo Hildebrand,de GER,GK,Valencia,28,1979,2,2,180,2.0,4,2.00,11,7,63.6,0,0,2,0,0.0,,,,,,2007-2008
23,Lars Hirschfeld,ca CAN,GK,Rosenborg,28,1978,6,6,540,6.0,10,1.67,42,32,76.2,2,1,3,0,0.0,,,,,,2007-2008
24,Albert Jorquera,es ESP,GK,Barcelona,28,1979,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,,,,,,2007-2008
25,Zeljko Kalac,au AUS,GK,Milan,34,1972,5,5,361,4.0,3,0.75,23,20,87.0,2,1,1,2,40.0,,,,,,2007-2008
26,Tomasz Kuszczak,pl POL,GK,Manchester Utd,25,1982,5,3,323,3.6,2,0.56,18,16,88.9,2,1,0,1,33.3,,,,,,2007-2008
27,Jens Lehmann,de GER,GK,Arsenal,37,1969,2,2,180,2.0,1,0.50,5,4,80.0,2,0,0,1,50.0,,,,,,2007-2008
28,Taras Lutsenko,ua UKR,GK,Dynamo Kyiv,33,1974,1,1,90,1.0,3,3.00,10,7,70.0,0,0,1,0,0.0,,,,,,2007-2008
29,Steve Mandanda,fr FRA,GK,Marseille,22,1985,6,6,540,6.0,9,1.50,19,10,52.6,2,1,3,2,33.3,,,,,,2007-2008
30,Veniamin Mandrykin,ru RUS,GK,CSKA Moscow,25,1981,3,3,270,3.0,6,2.00,15,9,60.0,0,0,3,0,0.0,,,,,,2007-2008
31,Allan McGregor,sct SCO,GK,Rangers,25,1982,6,6,540,6.0,9,1.50,51,42,82.4,2,1,3,2,33.3,,,,,,2007-2008
32,Manuel Neuer,de GER,GK,Schalke 04,21,1986,10,10,930,10.3,7,0.68,48,41,85.4,3,2,5,4,40.0,,,,,,2007-2008
33,Antonios Nikopolidis,gr GRE,GK,Olympiacos,36,1971,8,8,720,8.0,10,1.25,43,33,76.7,3,3,2,3,37.5,,,,,,2007-2008
34,Nuno,pt POR,GK,Porto,33,1974,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,,,,,,2007-2008
35,Andrés Palop,es ESP,GK,Sevilla,33,1973,7,7,660,7.3,12,1.64,27,15,55.6,5,0,2,1,14.3,,,,,,2007-2008
36,Rui Patrício,pt POR,GK,Sporting CP,19,1988,2,2,180,2.0,2,1.00,10,8,80.0,0,1,1,0,0.0,,,,,,2007-2008
37,Andriy Pyatov,ua UKR,GK,Shakhtar,23,1984,6,6,540,6.0,11,1.83,33,22,66.7,2,0,4,2,33.3,,,,,,2007-2008
38,Quim,pt POR,GK,Benfica,31,1975,6,6,540,6.0,6,1.00,31,25,80.6,2,1,3,1,16.7,,,,,,2007-2008
39,Rüştü Reçber,tr TUR,GK,Beşiktaş,34,1973,2,2,180,2.0,3,1.50,11,8,72.7,1,0,1,0,0.0,,,,,,2007-2008
40,Pepe Reina,es ESP,GK,Liverpool,24,1982,12,12,"1,110",12.3,12,0.97,44,32,72.7,6,3,3,4,33.3,,,,,,2007-2008
41,Oleksandr Rybka,ua UKR,GK,Dynamo Kyiv,20,1987,1,1,90,1.0,4,4.00,7,3,42.9,0,0,1,0,0.0,,,,,,2007-2008
42,Raphael Schäfer,de GER,GK,Stuttgart,28,1979,6,6,540,6.0,15,2.50,58,43,74.1,1,0,5,1,16.7,,,,,,2007-2008
43,Oleksandr Shovkovskiy,ua UKR,GK,Dynamo Kyiv,32,1975,4,4,360,4.0,12,3.00,34,22,64.7,0,0,4,0,0.0,,,,,,2007-2008
44,Vladimir Stojković,rs SRB,GK,Sporting CP,24,1983,2,2,180,2.0,2,1.00,16,14,87.5,2,0,0,0,0.0,,,,,,2007-2008
45,Víctor Valdés,es ESP,GK,Barcelona,25,1982,11,11,990,11.0,5,0.45,37,32,86.5,7,3,1,8,72.7,,,,,,2007-2008
46,Christian Vander,de GER,GK,Werder Bremen,26,1980,2,2,180,2.0,5,2.50,18,13,72.2,1,0,1,0,0.0,,,,,,2007-2008
47,Martin Vaniak,cz CZE,GK,Slavia Prague,36,1970,5,5,450,5.0,16,3.20,30,14,46.7,0,2,3,0,0.0,,,,,,2007-2008
48,Rémy Vercoutre,fr FRA,GK,Lyon,27,1980,6,6,540,6.0,10,1.67,33,23,69.7,3,1,2,2,33.3,,,,,,2007-2008
49,Michal Vorel,cz CZE,GK,Slavia Prague,32,1975,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,,,,,,2007-2008
50,Tim Wiese,de GER,GK,Werder Bremen,25,1981,4,4,360,4.0,8,2.00,25,17,68.0,1,0,3,0,0.0,,,,,,2007-2008
51,Róbinson Zapata,co COL,GK,Steaua,28,1978,6,6,540,6.0,10,1.67,32,22,68.8,0,1,5,0,0.0,,,,,,2007-2008
1,Igor Akinfeev,ru RUS,GK,CSKA Moscow,20,1986,6,6,540,6.0,6,1.00,22,16,72.7,1,2,3,3,50.0,,,,,,2006-2007
2,Helton Arruda,br BRA,GK,Porto,28,1978,8,8,720,8.0,7,0.87,24,17,70.8,3,3,2,3,37.5,,,,,,2006-2007
3,Artur Boruc,pl POL,GK,Celtic,26,1980,8,8,750,8.3,10,1.20,42,32,76.2,3,1,4,4,50.0,,,,,,2006-2007
4,Ludovic Butelle,fr FRA,GK,Valencia,23,1983,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,,,,,,2006-2007
5,Santiago Cañizares,es ESP,GK,Valencia,36,1969,9,9,810,9.0,10,1.11,26,16,61.5,4,4,1,3,33.3,,,,,,2006-2007
6,Iker Casillas,es ESP,GK,Real Madrid,25,1981,7,7,630,7.0,10,1.43,34,24,70.6,4,1,2,1,14.3,,,,,,2006-2007
7,Petr Čech,cz CZE,GK,Chelsea,24,1982,8,8,750,8.3,6,0.72,27,21,77.8,5,2,1,2,25.0,,,,,,2006-2007
8,Cornel Cernea,ro ROU,GK,Steaua,30,1976,3,3,270,3.0,3,1.00,14,11,78.6,0,2,1,0,0.0,,,,,,2006-2007
9,Júlio César,br BRA,GK,Inter,26,1979,6,6,540,6.0,5,0.83,26,21,80.8,3,2,1,3,50.0,,,,,,2006-2007
10,Jesper Christiansen,dk DEN,GK,FC Copenhagen,28,1978,6,6,540,6.0,7,1.17,26,19,73.1,2,1,3,2,33.3,,,,,,2006-2007
11,Grégory Coupet,fr FRA,GK,Lyon,33,1972,7,7,630,7.0,5,0.71,26,21,80.8,3,3,1,4,57.1,,,,,,2006-2007
12,Carlo Cudicini,it ITA,GK,Chelsea,32,1973,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,,,,,,2006-2007
13,Edwin van der Sar,nl NED,GK,Manchester Utd,35,1970,12,12,"1,080",12.0,13,1.08,45,32,71.1,8,0,4,4,33.3,,,,,,2006-2007
14,Dida,br BRA,GK,Milan,32,1973,11,11,"1,008",11.2,8,0.71,41,33,80.5,7,2,1,6,54.5,,,,,,2006-2007
15,Doni,br BRA,GK,Roma,26,1979,10,10,900,10.0,12,1.20,41,29,70.7,5,2,3,5,50.0,,,,,,2006-2007
16,Jerzy Dudek,pl POL,GK,Liverpool,33,1973,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,,,,,,2006-2007
17,Carlos Fernandes,ao ANG,GK,Steaua,26,1979,3,3,270,3.0,8,2.67,17,9,52.9,1,0,2,0,0.0,,,,,,2006-2007
18,Heurelho Gomes,br BRA,GK,PSV Eindhoven,25,1981,10,10,900,10.0,11,1.10,49,38,77.6,4,2,4,4,40.0,,,,,,2006-2007
19,Henrique Hilário,pt POR,GK,Chelsea,30,1975,3,3,270,3.0,2,0.67,8,6,75.0,2,1,0,2,66.7,,,,,,2006-2007
20,Oliver Kahn,de GER,GK,Bayern Munich,37,1969,9,9,810,9.0,9,1.00,41,32,78.0,4,3,2,4,44.4,,,,,,2006-2007
21,Zeljko Kalac,au AUS,GK,Milan,33,1972,3,2,192,2.1,2,0.94,10,8,80.0,0,1,1,1,50.0,,,,,,2006-2007
22,Sascha Kirschstein,de GER,GK,Hamburger SV,26,1980,3,3,190,2.1,8,3.79,18,10,55.6,0,0,3,0,0.0,,,,,,2006-2007
23,Wojciech Kowalewski,pl POL,GK,Spartak Moscow,29,1977,4,4,360,4.0,8,2.00,18,10,55.6,0,1,3,0,0.0,,,,,,2006-2007
24,Jens Lehmann,de GER,GK,Arsenal,36,1969,8,8,720,8.0,5,0.62,29,24,82.8,3,3,2,3,37.5,,,,,,2006-2007
25,Diego López,es ESP,GK,Real Madrid,24,1981,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,,,,,,2006-2007
26,Taras Lutsenko,ua UKR,GK,Dynamo Kyiv,32,1974,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,,,,,,2006-2007
27,Grégory Malicki,fr FRA,GK,Lille,32,1973,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,,,,,,2006-2007
28,Nikolay Mihaylov,bg BUL,GK,Levski Sofia,18,1988,1,1,45,0.5,3,6.00,5,2,40.0,0,0,1,0,0.0,,,,,,2006-2007
29,Bozhidar Mitrev,bg BUL,GK,Levski Sofia,19,1987,2,1,135,1.5,4,2.67,14,10,71.4,0,0,1,0,0.0,,,,,,2006-2007
30,Faryd Mondragón,co COL,GK,Galatasaray,35,1971,6,6,540,6.0,12,2.00,41,29,70.7,1,1,4,1,16.7,,,,,,2006-2007
31,Antonios Nikopolidis,gr GRE,GK,Olympiacos,35,1971,6,6,540,6.0,11,1.83,30,19,63.3,0,3,3,0,0.0,,,,,,2006-2007
32,Georgi Petkov,bg BUL,GK,Levski Sofia,30,1976,4,4,360,4.0,12,3.00,24,12,50.0,0,0,4,0,0.0,,,,,,2006-2007
33,Stipe Pletikosa,hr CRO,GK,Shakhtar,27,1979,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,,,,,,2006-2007
34,Quim,pt POR,GK,Benfica,30,1975,6,6,540,6.0,8,1.33,34,26,76.5,2,1,3,2,33.3,,,,,,2006-2007
35,Ulrich Ramé,fr FRA,GK,Bordeaux,33,1972,6,6,540,6.0,7,1.17,25,18,72.0,2,1,3,1,16.7,,,,,,2006-2007
36,Pepe Reina,es ESP,GK,Liverpool,23,1982,12,12,"1,110",12.3,7,0.57,41,34,82.9,8,1,3,7,58.3,,,,,,2006-2007
37,Andreas Reinke,de GER,GK,Werder Bremen,37,1969,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,,,,,,2006-2007
38,Ricardo,pt POR,GK,Sporting CP,30,1976,6,6,540,6.0,6,1.00,22,16,72.7,1,2,3,2,33.3,,,,,,2006-2007
39,Davy Schollen,be BEL,GK,Anderlecht,28,1978,1,1,90,1.0,2,2.00,6,4,66.7,0,1,0,0,0.0,,,,,,2006-2007
40,Oleksandr Shovkovskiy,ua UKR,GK,Dynamo Kyiv,31,1975,5,5,428,4.8,12,2.52,31,19,61.3,0,2,3,0,0.0,,,,,,2006-2007
41,Bohdan Shust,ua UKR,GK,Shakhtar,20,1986,4,4,360,4.0,5,1.25,17,12,70.6,1,3,0,1,25.0,,,,,,2006-2007
42,Dmytro Shutkov,ua UKR,GK,Shakhtar,34,1972,1,1,90,1.0,4,4.00,6,2,33.3,0,0,1,0,0.0,,,,,,2006-2007
43,Stefano Sorrentino,it ITA,GK,AEK Athens,27,1979,6,6,540,6.0,9,1.50,33,24,72.7,2,2,2,2,33.3,,,,,,2006-2007
44,Tony Sylva,sn SEN,GK,Lille,31,1975,7,7,630,7.0,7,1.00,31,24,77.4,1,3,3,1,14.3,,,,,,2006-2007
45,Francesco Toldo,it ITA,GK,Inter,34,1971,2,2,180,2.0,2,1.00,10,8,80.0,0,1,1,0,0.0,,,,,,2006-2007
46,Víctor Valdés,es ESP,GK,Barcelona,24,1982,8,8,720,8.0,6,0.75,27,21,77.8,4,2,2,4,50.0,,,,,,2006-2007
47,Rémy Vercoutre,fr FRA,GK,Lyon,26,1980,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,,,,,,2006-2007
48,Stefan Wächter,de GER,GK,Hamburger SV,28,1978,4,3,350,3.9,7,1.80,24,17,70.8,1,0,2,1,33.3,,,,,,2006-2007
49,Tim Wiese,de GER,GK,Werder Bremen,24,1981,5,5,450,5.0,3,0.60,17,14,82.4,3,1,1,3,60.0,,,,,,2006-2007
50,Daniel Zítka,cz CZE,GK,Anderlecht,31,1975,5,5,450,5.0,9,1.80,34,25,73.5,0,3,2,0,0.0,,,,,,2006-2007
51,Aleksei Zuev,ru RUS,GK,Spartak Moscow,25,1981,2,2,180,2.0,3,1.50,10,7,70.0,1,1,0,0,0.0,,,,,,2006-2007
1,Christian Abbiati,it ITA,GK,Juventus,28,1977,6,6,540,6.0,5,0.83,22,17,77.3,5,0,1,2,33.3,,,,,,2005-2006
2,Manuel Almunia,es ESP,GK,Arsenal,28,1977,6,5,522,5.8,4,0.69,19,15,78.9,4,1,1,3,60.0,,,,,,2005-2006
3,Vítor Baía,pt POR,GK,Porto,35,1969,6,6,540,6.0,9,1.50,23,14,60.9,1,2,3,2,33.3,,,,,,2005-2006
4,Mariano Barbosa,ar ARG,GK,Villarreal,21,1984,6,6,540,6.0,3,0.50,21,18,85.7,3,2,1,3,50.0,,,,,,2005-2006
5,Jaromír Blažek,cz CZE,GK,Sparta Prague,32,1972,6,6,540,6.0,9,1.50,31,22,71.0,0,2,4,1,16.7,,,,,,2005-2006
6,Gianluigi Buffon,it ITA,GK,Juventus,27,1978,4,4,360,4.0,6,1.50,17,11,64.7,1,1,2,1,25.0,,,,,,2005-2006
7,Tomislav Butina,hr CRO,GK,Club Brugge,31,1974,5,5,450,5.0,5,1.00,14,9,64.3,2,1,2,1,20.0,,,,,,2005-2006
8,Iker Casillas,es ESP,GK,Real Madrid,24,1981,7,7,630,7.0,7,1.00,26,19,73.1,3,2,2,2,28.6,,,,,,2005-2006
9,Petr Čech,cz CZE,GK,Chelsea,23,1982,7,7,630,7.0,4,0.57,23,19,82.6,2,3,2,5,71.4,,,,,,2005-2006
10,Júlio César,br BRA,GK,Inter,25,1979,5,5,450,5.0,3,0.60,19,16,84.2,4,0,1,3,60.0,,,,,,2005-2006
11,Juraj Čobej,sk SVK,GK,Artmedia,33,1971,6,6,540,6.0,9,1.50,33,24,72.7,1,3,2,2,33.3,,,,,,2005-2006
12,Pedro Contreras,es ESP,GK,Betis,33,1972,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,,,,,,2005-2006
13,Grégory Coupet,fr FRA,GK,Lyon,32,1972,9,9,810,9.0,7,0.78,41,34,82.9,6,2,1,5,55.6,,,,,,2005-2006
14,Carlo Cudicini,it ITA,GK,Chelsea,31,1973,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,,,,,,2005-2006
15,Morgan De Sanctis,it ITA,GK,Udinese,28,1977,6,6,720,8.0,12,1.50,34,22,64.7,2,1,3,0,0.0,,,,,,2005-2006
16,Volkan Demirel,tr TUR,GK,Fenerbahçe,23,1981,6,6,540,6.0,14,2.33,40,26,65.0,1,1,4,0,0.0,,,,,,2005-2006
17,Edwin van der Sar,nl NED,GK,Manchester Utd,34,1970,6,6,540,6.0,4,0.67,21,17,81.0,1,3,2,3,50.0,,,,,,2005-2006
18,Dida,br BRA,GK,Milan,31,1973,12,12,"1,058",11.8,10,0.85,34,24,70.6,5,5,2,5,41.7,,,,,,2005-2006
19,Toni Doblas,es ESP,GK,Betis,24,1980,5,5,540,6.0,7,1.17,29,22,75.9,1,1,3,1,20.0,,,,,,2005-2006
20,Mario Galinović,hr CRO,GK,Panathinaikos,28,1976,6,6,540,6.0,16,2.67,43,27,62.8,1,1,4,1,16.7,,,,,,2005-2006
21,Heurelho Gomes,br BRA,GK,PSV Eindhoven,24,1981,8,8,720,8.0,11,1.37,41,30,73.2,3,1,4,3,37.5,,,,,,2005-2006
22,Raimund Hedl,at AUT,GK,Rapid Wien,30,1974,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,,,,,,2005-2006
23,Eldin Jakupović,ch SUI,GK,Thun,20,1984,6,6,540,6.0,9,1.50,28,19,67.9,1,1,4,0,0.0,,,,,,2005-2006
24,Espen Johnsen,no NOR,GK,Rosenborg,25,1979,6,6,540,6.0,11,1.83,34,23,67.6,1,1,4,0,0.0,,,,,,2005-2006
25,Albert Jorquera,es ESP,GK,Barcelona,26,1979,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,,,,,,2005-2006
26,Oliver Kahn,de GER,GK,Bayern Munich,36,1969,7,7,630,7.0,8,1.14,34,26,76.5,4,1,2,3,42.9,,,,,,2005-2006
27,Zeljko Kalac,au AUS,GK,Milan,32,1972,1,0,22,0.2,0,0.00,1,1,100.0,0,0,0,0,,,,,,,2005-2006
28,Jens Lehmann,de GER,GK,Arsenal,35,1969,7,7,648,7.2,0,0.00,22,22,100.0,4,3,0,6,85.7,,,,,,2005-2006
29,Diego López,es ESP,GK,Real Madrid,23,1981,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,,,,,,2005-2006
30,José Moreira,pt POR,GK,Benfica,23,1982,2,2,180,2.0,2,1.00,9,7,77.8,1,0,1,1,50.0,,,,,,2005-2006
31,Marcelo Moretto,br BRA,GK,Benfica,27,1978,4,4,360,4.0,2,0.50,14,12,85.7,2,1,1,3,75.0,,,,,,2005-2006
32,Rui Nereu,pt POR,GK,Benfica,19,1986,2,1,152,1.7,1,0.59,7,6,85.7,0,1,1,0,0.0,,,,,,2005-2006
33,Antonios Nikopolidis,gr GRE,GK,Olympiacos,34,1971,5,5,450,5.0,9,1.80,25,16,64.0,1,1,3,0,0.0,,,,,,2005-2006
34,Helge Payer,at AUT,GK,Rapid Wien,25,1979,5,5,450,5.0,12,2.40,29,17,58.6,0,0,5,0,0.0,,,,,,2005-2006
35,Silvio Proto,be BEL,GK,Anderlecht,22,1983,4,4,360,4.0,7,1.75,23,16,69.6,0,0,4,0,0.0,,,,,,2005-2006
36,Quim,pt POR,GK,Benfica,29,1975,3,3,208,2.3,1,0.43,13,12,92.3,1,1,0,1,33.3,,,,,,2005-2006
37,Pepe Reina,es ESP,GK,Liverpool,22,1982,8,8,720,8.0,4,0.50,26,22,84.6,3,3,2,5,62.5,,,,,,2005-2006
38,Andreas Reinke,de GER,GK,Werder Bremen,36,1969,8,8,720,8.0,12,1.50,34,22,64.7,3,1,4,1,12.5,,,,,,2005-2006
39,Michael Rensing,de GER,GK,Bayern Munich,21,1984,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,,,,,,2005-2006
40,Frank Rost,de GER,GK,Schalke 04,32,1973,6,6,540,6.0,9,1.50,33,24,72.7,2,2,2,1,16.7,,,,,,2005-2006
41,Maarten Stekelenburg,nl NED,GK,Ajax,22,1982,8,8,720,8.0,6,0.75,25,19,76.0,2,3,1,3,37.5,,,,,,2005-2006
42,Stijn Stijnen,be BEL,GK,Club Brugge,24,1981,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,,,,,,2005-2006
43,Tony Sylva,sn SEN,GK,Lille,30,1975,6,6,540,6.0,2,0.33,19,17,89.5,1,3,2,4,66.7,,,,,,2005-2006
44,Francesco Toldo,it ITA,GK,Inter,33,1971,5,5,450,5.0,5,1.00,22,17,77.3,2,2,1,1,20.0,,,,,,2005-2006
45,Víctor Valdés,es ESP,GK,Barcelona,23,1982,12,12,"1,080",12.0,5,0.42,41,36,87.8,8,4,0,8,66.7,,,,,,2005-2006
46,Rémy Vercoutre,fr FRA,GK,Lyon,25,1980,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,,,,,,2005-2006
47,Sebastián Viera,uy URU,GK,Villarreal,22,1983,7,7,630,7.0,4,0.57,22,18,81.8,1,5,1,4,57.1,,,,,,2005-2006
48,Hans Vonk,za RSA,GK,Ajax,35,1970,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,,,,,,2005-2006
49,Ronald Waterreus,nl NED,GK,Rangers,34,1970,8,8,720,8.0,10,1.25,37,27,73.0,1,6,1,1,12.5,,,,,,2005-2006
50,Daniel Zítka,cz CZE,GK,Anderlecht,30,1975,2,2,180,2.0,1,0.50,9,8,88.9,1,0,1,1,50.0,,,,,,2005-2006
1,Igor Akinfeev,ru RUS,GK,CSKA Moscow,18,1986,6,6,540,6.0,5,0.83,32,27,84.4,1,1,4,2,33.3,,,,,,2004-2005
2,Manuel Almunia,es ESP,GK,Arsenal,27,1977,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,,,,,,2004-2005
3,Vítor Baía,pt POR,GK,Porto,34,1969,6,6,540,6.0,9,1.50,32,23,71.9,0,3,3,2,33.3,,,,,,2004-2005
4,Jaromír Blažek,cz CZE,GK,Sparta Prague,31,1972,6,6,540,6.0,13,2.17,41,28,68.3,0,1,5,1,16.7,,,,,,2004-2005
5,Gianluigi Buffon,it ITA,GK,Juventus,26,1978,9,9,840,9.3,3,0.32,32,29,90.6,6,1,2,7,77.8,,,,,,2004-2005
6,Hans-Jörg Butt,de GER,GK,Leverkusen,30,1974,8,8,720,8.0,13,1.62,46,33,71.7,3,2,3,2,25.0,,,,,,2004-2005
7,Santiago Cañizares,es ESP,GK,Valencia,34,1969,6,6,540,6.0,10,1.67,34,24,70.6,2,1,3,2,33.3,,,,,,2004-2005
8,Fabián Carini,uy URU,GK,Inter,24,1979,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,,,,,,2004-2005
9,Roy Carroll,nir NIR,GK,Manchester Utd,26,1977,6,6,540,6.0,8,1.33,25,17,68.0,3,1,2,1,16.7,,,,,,2004-2005
10,Scott Carson,eng ENG,GK,Liverpool,18,1985,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,,,,,,2004-2005
11,Iker Casillas,es ESP,GK,Real Madrid,23,1981,8,8,750,8.3,10,1.20,46,36,78.3,4,2,2,3,37.5,,,,,,2004-2005
12,Petr Čech,cz CZE,GK,Chelsea,22,1982,11,11,990,11.0,13,1.18,41,28,68.3,6,1,4,4,36.4,,,,,,2004-2005
13,Kostas Chalkias,gr GRE,GK,Panathinaikos,30,1974,4,4,360,4.0,6,1.50,22,16,72.7,0,3,1,0,0.0,,,,,,2004-2005
14,Antonio Chimenti,it ITA,GK,Juventus,34,1970,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,,,,,,2004-2005
15,Grégory Coupet,fr FRA,GK,Lyon,31,1972,8,8,732,8.1,8,0.98,34,26,76.5,4,3,0,1,12.5,,,,,,2004-2005
16,Carlo Cudicini,it ITA,GK,Chelsea,30,1973,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,,,,,,2004-2005
17,Volkan Demirel,tr TUR,GK,Fenerbahçe,22,1981,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,0,,,,,,,2004-2005
18,Dida,br BRA,GK,Milan,30,1973,12,12,"1,110",12.3,9,0.73,51,42,82.4,8,2,2,8,66.7,,,,,,2004-2005
19,Jerzy Dudek,pl POL,GK,Liverpool,31,1973,8,8,750,8.3,6,0.72,43,37,86.0,4,3,1,4,50.0,,,,,,2004-2005
20,Alberto Fontana,it ITA,GK,Inter,37,1967,2,2,180,2.0,1,0.50,8,7,87.5,1,1,0,1,50.0,,,,,,2004-2005
21,Mario Galinović,hr CRO,GK,Panathinaikos,27,1976,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,0,0.0,,,,,,2004-2005
22,Heurelho Gomes,br BRA,GK,PSV Eindhoven,23,1981,10,10,930,10.3,13,1.26,46,33,71.7,5,3,2,3,30.0,,,,,,2004-2005
23,Magnus Hedman,se SWE,GK,Celtic,31,1973,2,2,180,2.0,1,0.50,9,8,88.9,0,2,0,1,50.0,,,,,,2004-2005
24,Tim Howard,us USA,GK,Manchester Utd,25,1979,2,2,180,2.0,3,1.50,10,7,70.0,0,1,1,0,0.0,,,,,,2004-2005
25,Espen Johnsen,no NOR,GK,Rosenborg,24,1979,6,6,540,6.0,13,2.17,42,29,69.0,0,2,4,0,0.0,,,,,,2004-2005
26,Oliver Kahn,de GER,GK,Bayern Munich,35,1969,10,10,900,10.0,13,1.30,45,32,71.1,5,1,4,2,20.0,,,,,,2004-2005
27,Chris Kirkland,eng ENG,GK,Liverpool,23,1981,4,4,360,4.0,2,0.50,17,15,88.2,2,1,1,2,50.0,,,,,,2004-2005
28,Jan Laštůvka,cz CZE,GK,Shakhtar,22,1982,6,6,540,6.0,9,1.50,34,25,73.5,2,0,4,2,33.3,,,,,,2004-2005
29,Jens Lehmann,de GER,GK,Arsenal,34,1969,7,7,630,7.0,9,1.29,35,26,74.3,2,4,1,2,28.6,,,,,,2004-2005
30,Lionel Letizi,fr FRA,GK,Paris S-G,31,1973,6,6,540,6.0,8,1.33,34,26,76.5,1,2,3,3,50.0,,,,,,2004-2005
31,Bogdan Lobonț,ro ROU,GK,Ajax,26,1978,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,1,50.0,,,,,,2004-2005
32,David Marshall,sct SCO,GK,Celtic,19,1985,4,4,360,4.0,9,2.25,26,17,65.4,1,0,3,1,25.0,,,,,,2004-2005
33,José Molina,es ESP,GK,La Coruña,33,1970,5,5,450,5.0,4,0.80,23,19,82.6,0,2,3,2,40.0,,,,,,2004-2005
34,Gustavo Munúa,uy URU,GK,La Coruña,26,1978,1,1,90,1.0,5,5.00,10,5,50.0,0,0,1,0,0.0,,,,,,2004-2005
35,Antonios Nikopolidis,gr GRE,GK,Olympiacos,33,1971,6,6,540,6.0,5,0.83,28,23,82.1,3,1,2,4,66.7,,,,,,2004-2005
