Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Braga,21,,,,,,,,,,,,,,,,,,2010-2011
Bursaspor,21,,,,,,,,,,,,,,,,,,2010-2011
CFR Cluj,22,,,,,,,,,,,,,,,,,,2010-2011
Chelsea,25,,,,,,,,,,,,,,,,,,2010-2011
FC Copenhagen,19,,,,,,,,,,,,,,,,,,2010-2011
Hapoel Tel Aviv,19,,,,,,,,,,,,,,,,,,2010-2011
Inter,29,,,,,,,,,,,,,,,,,,2010-2011
Lyon,20,,,,,,,,,,,,,,,,,,2010-2011
Manchester Utd,28,,,,,,,,,,,,,,,,,,2010-2011
Marseille,20,,,,,,,,,,,,,,,,,,2010-2011
Milan,23,,,,,,,,,,,,,,,,,,2010-2011
MŠK Žilina,19,,,,,,,,,,,,,,,,,,2010-2011
Panathinaikos,21,,,,,,,,,,,,,,,,,,2010-2011
Partizan,21,,,,,,,,,,,,,,,,,,2010-2011
Rangers,19,,,,,,,,,,,,,,,,,,2010-2011
Real Madrid,26,,,,,,,,,,,,,,,,,,2010-2011
Roma,25,,,,,,,,,,,,,,,,,,2010-2011
Rubin Kazan,20,,,,,,,,,,,,,,,,,,2010-2011
Schalke 04,27,,,,,,,,,,,,,,,,,,2010-2011
Shakhtar,22,,,,,,,,,,,,,,,,,,2010-2011
Spartak Moscow,22,,,,,,,,,,,,,,,,,,2010-2011
Tottenham,25,,,,,,,,,,,,,,,,,,2010-2011
Twente,21,,,,,,,,,,,,,,,,,,2010-2011
Valencia,26,,,,,,,,,,,,,,,,,,2010-2011
Werder Bremen,22,,,,,,,,,,,,,,,,,,2010-2011
APOEL FC,20,,,,,,,,,,,,,,,,,,2009-2010
Arsenal,29,,,,,,,,,,,,,,,,,,2009-2010
Atlético Madrid,21,,,,,,,,,,,,,,,,,,2009-2010
AZ Alkmaar,19,,,,,,,,,,,,,,,,,,2009-2010
Barcelona,20,,,,,,,,,,,,,,,,,,2009-2010
Bayern Munich,22,,,,,,,,,,,,,,,,,,2009-2010
Beşiktaş,22,,,,,,,,,,,,,,,,,,2009-2010
Bordeaux,23,,,,,,,,,,,,,,,,,,2009-2010
Chelsea,22,,,,,,,,,,,,,,,,,,2009-2010
CSKA Moscow,20,,,,,,,,,,,,,,,,,,2009-2010
Debrecen,20,,,,,,,,,,,,,,,,,,2009-2010
Dynamo Kyiv,17,,,,,,,,,,,,,,,,,,2009-2010
Fiorentina,23,,,,,,,,,,,,,,,,,,2009-2010
Inter,23,,,,,,,,,,,,,,,,,,2009-2010
Juventus,22,,,,,,,,,,,,,,,,,,2009-2010
Liverpool,24,,,,,,,,,,,,,,,,,,2009-2010
Lyon,20,,,,,,,,,,,,,,,,,,2009-2010
Maccabi Haifa,20,,,,,,,,,,,,,,,,,,2009-2010
Manchester Utd,27,,,,,,,,,,,,,,,,,,2009-2010
Marseille,20,,,,,,,,,,,,,,,,,,2009-2010
Milan,25,,,,,,,,,,,,,,,,,,2009-2010
Olympiacos,24,,,,,,,,,,,,,,,,,,2009-2010
Porto,21,,,,,,,,,,,,,,,,,,2009-2010
Rangers,19,,,,,,,,,,,,,,,,,,2009-2010
Real Madrid,21,,,,,,,,,,,,,,,,,,2009-2010
Rubin Kazan,16,,,,,,,,,,,,,,,,,,2009-2010
Sevilla,25,,,,,,,,,,,,,,,,,,2009-2010
Standard Liège,19,,,,,,,,,,,,,,,,,,2009-2010
Stuttgart,20,,,,,,,,,,,,,,,,,,2009-2010
Unirea Urziceni,21,,,,,,,,,,,,,,,,,,2009-2010
Wolfsburg,17,,,,,,,,,,,,,,,,,,2009-2010
Zürich,18,,,,,,,,,,,,,,,,,,2009-2010
Aalborg,16,,,,,,,,,,,,,,,,,,2008-2009
Anorthosis,20,,,,,,,,,,,,,,,,,,2008-2009
Arsenal,24,,,,,,,,,,,,,,,,,,2008-2009
Atlético Madrid,22,,,,,,,,,,,,,,,,,,2008-2009
Barcelona,23,,,,,,,,,,,,,,,,,,2008-2009
Basel,21,,,,,,,,,,,,,,,,,,2008-2009
BATE Borisov,19,,,,,,,,,,,,,,,,,,2008-2009
Bayern Munich,22,,,,,,,,,,,,,,,,,,2008-2009
Bordeaux,17,,,,,,,,,,,,,,,,,,2008-2009
Celtic,19,,,,,,,,,,,,,,,,,,2008-2009
CFR Cluj,18,,,,,,,,,,,,,,,,,,2008-2009
Chelsea,21,,,,,,,,,,,,,,,,,,2008-2009
Dynamo Kyiv,19,,,,,,,,,,,,,,,,,,2008-2009
Fenerbahçe,20,,,,,,,,,,,,,,,,,,2008-2009
Fiorentina,19,,,,,,,,,,,,,,,,,,2008-2009
Inter,23,,,,,,,,,,,,,,,,,,2008-2009
Juventus,25,,,,,,,,,,,,,,,,,,2008-2009
Liverpool,22,,,,,,,,,,,,,,,,,,2008-2009
Lyon,22,,,,,,,,,,,,,,,,,,2008-2009
Manchester Utd,24,,,,,,,,,,,,,,,,,,2008-2009
Marseille,18,,,,,,,,,,,,,,,,,,2008-2009
Panathinaikos,22,,,,,,,,,,,,,,,,,,2008-2009
Porto,22,,,,,,,,,,,,,,,,,,2008-2009
PSV Eindhoven,19,,,,,,,,,,,,,,,,,,2008-2009
Real Madrid,25,,,,,,,,,,,,,,,,,,2008-2009
Roma,23,,,,,,,,,,,,,,,,,,2008-2009
Shakhtar,22,,,,,,,,,,,,,,,,,,2008-2009
Sporting CP,21,,,,,,,,,,,,,,,,,,2008-2009
Steaua,20,,,,,,,,,,,,,,,,,,2008-2009
Villarreal,21,,,,,,,,,,,,,,,,,,2008-2009
Werder Bremen,21,,,,,,,,,,,,,,,,,,2008-2009
Zenit,16,,,,,,,,,,,,,,,,,,2008-2009
Arsenal,24,,,,,,,,,,,,,,,,,,2007-2008
Barcelona,24,,,,,,,,,,,,,,,,,,2007-2008
Benfica,20,,,,,,,,,,,,,,,,,,2007-2008
Beşiktaş,22,,,,,,,,,,,,,,,,,,2007-2008
Celtic,23,,,,,,,,,,,,,,,,,,2007-2008
Chelsea,24,,,,,,,,,,,,,,,,,,2007-2008
CSKA Moscow,22,,,,,,,,,,,,,,,,,,2007-2008
Dynamo Kyiv,27,,,,,,,,,,,,,,,,,,2007-2008
Fenerbahçe,21,,,,,,,,,,,,,,,,,,2007-2008
Inter,24,,,,,,,,,,,,,,,,,,2007-2008
Lazio,21,,,,,,,,,,,,,,,,,,2007-2008
Liverpool,22,,,,,,,,,,,,,,,,,,2007-2008
Lyon,22,,,,,,,,,,,,,,,,,,2007-2008
Manchester Utd,26,,,,,,,,,,,,,,,,,,2007-2008
Marseille,20,,,,,,,,,,,,,,,,,,2007-2008
Milan,23,,,,,,,,,,,,,,,,,,2007-2008
Olympiacos,23,,,,,,,,,,,,,,,,,,2007-2008
Porto,22,,,,,,,,,,,,,,,,,,2007-2008
PSV Eindhoven,21,,,,,,,,,,,,,,,,,,2007-2008
Rangers,18,,,,,,,,,,,,,,,,,,2007-2008
Real Madrid,23,,,,,,,,,,,,,,,,,,2007-2008
Roma,22,,,,,,,,,,,,,,,,,,2007-2008
Rosenborg,16,,,,,,,,,,,,,,,,,,2007-2008
Schalke 04,23,,,,,,,,,,,,,,,,,,2007-2008
Sevilla,24,,,,,,,,,,,,,,,,,,2007-2008
Shakhtar,17,,,,,,,,,,,,,,,,,,2007-2008
Slavia Prague,23,,,,,,,,,,,,,,,,,,2007-2008
Sporting CP,23,,,,,,,,,,,,,,,,,,2007-2008
Steaua,21,,,,,,,,,,,,,,,,,,2007-2008
Stuttgart,21,,,,,,,,,,,,,,,,,,2007-2008
Valencia,23,,,,,,,,,,,,,,,,,,2007-2008
Werder Bremen,20,,,,,,,,,,,,,,,,,,2007-2008
AEK Athens,22,,,,,,,,,,,,,,,,,,2006-2007
Anderlecht,17,,,,,,,,,,,,,,,,,,2006-2007
Arsenal,23,,,,,,,,,,,,,,,,,,2006-2007
Barcelona,21,,,,,,,,,,,,,,,,,,2006-2007
Bayern Munich,20,,,,,,,,,,,,,,,,,,2006-2007
Benfica,18,,,,,,,,,,,,,,,,,,2006-2007
Bordeaux,21,,,,,,,,,,,,,,,,,,2006-2007
Celtic,20,,,,,,,,,,,,,,,,,,2006-2007
Chelsea,22,,,,,,,,,,,,,,,,,,2006-2007
CSKA Moscow,19,,,,,,,,,,,,,,,,,,2006-2007
Dynamo Kyiv,25,,,,,,,,,,,,,,,,,,2006-2007
FC Copenhagen,17,,,,,,,,,,,,,,,,,,2006-2007
Galatasaray,24,,,,,,,,,,,,,,,,,,2006-2007
Hamburger SV,24,,,,,,,,,,,,,,,,,,2006-2007
Inter,23,,,,,,,,,,,,,,,,,,2006-2007
Levski Sofia,21,,,,,,,,,,,,,,,,,,2006-2007
Lille,23,,,,,,,,,,,,,,,,,,2006-2007
Liverpool,25,,,,,,,,,,,,,,,,,,2006-2007
Lyon,24,,,,,,,,,,,,,,,,,,2006-2007
Manchester Utd,21,,,,,,,,,,,,,,,,,,2006-2007
Milan,24,,,,,,,,,,,,,,,,,,2006-2007
Olympiacos,18,,,,,,,,,,,,,,,,,,2006-2007
Porto,21,,,,,,,,,,,,,,,,,,2006-2007
PSV Eindhoven,21,,,,,,,,,,,,,,,,,,2006-2007
Real Madrid,27,,,,,,,,,,,,,,,,,,2006-2007
Roma,21,,,,,,,,,,,,,,,,,,2006-2007
Shakhtar,21,,,,,,,,,,,,,,,,,,2006-2007
Spartak Moscow,20,,,,,,,,,,,,,,,,,,2006-2007
Sporting CP,21,,,,,,,,,,,,,,,,,,2006-2007
Steaua,20,,,,,,,,,,,,,,,,,,2006-2007
Valencia,30,,,,,,,,,,,,,,,,,,2006-2007
Werder Bremen,19,,,,,,,,,,,,,,,,,,2006-2007
Ajax,21,,,,,,,,,,,,,,,,,,2005-2006
Anderlecht,22,,,,,,,,,,,,,,,,,,2005-2006
Arsenal,25,,,,,,,,,,,,,,,,,,2005-2006
Artmedia,18,,,,,,,,,,,,,,,,,,2005-2006
Barcelona,22,,,,,,,,,,,,,,,,,,2005-2006
Bayern Munich,21,,,,,,,,,,,,,,,,,,2005-2006
Benfica,24,,,,,,,,,,,,,,,,,,2005-2006
Betis,21,,,,,,,,,,,,,,,,,,2005-2006
Chelsea,21,,,,,,,,,,,,,,,,,,2005-2006
Club Brugge,23,,,,,,,,,,,,,,,,,,2005-2006
Fenerbahçe,17,,,,,,,,,,,,,,,,,,2005-2006
Inter,26,,,,,,,,,,,,,,,,,,2005-2006
Juventus,21,,,,,,,,,,,,,,,,,,2005-2006
Lille,22,,,,,,,,,,,,,,,,,,2005-2006
Liverpool,21,,,,,,,,,,,,,,,,,,2005-2006
Lyon,24,,,,,,,,,,,,,,,,,,2005-2006
Manchester Utd,18,,,,,,,,,,,,,,,,,,2005-2006
Milan,21,,,,,,,,,,,,,,,,,,2005-2006
Olympiacos,20,,,,,,,,,,,,,,,,,,2005-2006
Panathinaikos,20,,,,,,,,,,,,,,,,,,2005-2006
Porto,21,,,,,,,,,,,,,,,,,,2005-2006
PSV Eindhoven,20,,,,,,,,,,,,,,,,,,2005-2006
Rangers,23,,,,,,,,,,,,,,,,,,2005-2006
Rapid Wien,19,,,,,,,,,,,,,,,,,,2005-2006
Real Madrid,27,,,,,,,,,,,,,,,,,,2005-2006
Rosenborg,14,,,,,,,,,,,,,,,,,,2005-2006
Schalke 04,15,,,,,,,,,,,,,,,,,,2005-2006
Sparta Prague,16,,,,,,,,,,,,,,,,,,2005-2006
Thun,15,,,,,,,,,,,,,,,,,,2005-2006
Udinese,15,,,,,,,,,,,,,,,,,,2005-2006
Villarreal,24,,,,,,,,,,,,,,,,,,2005-2006
Werder Bremen,19,,,,,,,,,,,,,,,,,,2005-2006
Ajax,23,,,,,,,,,,,,,,,,,,2004-2005
Anderlecht,22,,,,,,,,,,,,,,,,,,2004-2005
Arsenal,22,,,,,,,,,,,,,,,,,,2004-2005
Barcelona,23,,,,,,,,,,,,,,,,,,2004-2005
Bayern Munich,23,,,,,,,,,,,,,,,,,,2004-2005
Celtic,19,,,,,,,,,,,,,,,,,,2004-2005
Chelsea,23,,,,,,,,,,,,,,,,,,2004-2005
CSKA Moscow,20,,,,,,,,,,,,,,,,,,2004-2005
Dynamo Kyiv,19,,,,,,,,,,,,,,,,,,2004-2005
Fenerbahçe,19,,,,,,,,,,,,,,,,,,2004-2005
Inter,26,,,,,,,,,,,,,,,,,,2004-2005
Juventus,22,,,,,,,,,,,,,,,,,,2004-2005
La Coruña,21,,,,,,,,,,,,,,,,,,2004-2005
Leverkusen,21,,,,,,,,,,,,,,,,,,2004-2005
Liverpool,26,,,,,,,,,,,,,,,,,,2004-2005
Lyon,22,,,,,,,,,,,,,,,,,,2004-2005
Maccabi Tel Aviv,19,,,,,,,,,,,,,,,,,,2004-2005
Manchester Utd,27,,,,,,,,,,,,,,,,,,2004-2005
Milan,21,,,,,,,,,,,,,,,,,,2004-2005
Monaco,20,,,,,,,,,,,,,,,,,,2004-2005
Olympiacos,19,,,,,,,,,,,,,,,,,,2004-2005
Panathinaikos,22,,,,,,,,,,,,,,,,,,2004-2005
Paris S-G,20,,,,,,,,,,,,,,,,,,2004-2005
Porto,24,,,,,,,,,,,,,,,,,,2004-2005
PSV Eindhoven,20,,,,,,,,,,,,,,,,,,2004-2005
Real Madrid,18,,,,,,,,,,,,,,,,,,2004-2005
Roma,24,,,,,,,,,,,,,,,,,,2004-2005
Rosenborg,19,,,,,,,,,,,,,,,,,,2004-2005
Shakhtar,20,,,,,,,,,,,,,,,,,,2004-2005
Sparta Prague,19,,,,,,,,,,,,,,,,,,2004-2005
Valencia,20,,,,,,,,,,,,,,,,,,2004-2005
Werder Bremen,20,,,,,,,,,,,,,,,,,,2004-2005
AEK Athens,23,,,,,,,,,,,,,,,,,,2003-2004
Ajax,22,,,,,,,,,,,,,,,,,,2003-2004
Anderlecht,17,,,,,,,,,,,,,,,,,,2003-2004
Arsenal,18,,,,,,,,,,,,,,,,,,2003-2004
Bayern Munich,19,,,,,,,,,,,,,,,,,,2003-2004
Beşiktaş,18,,,,,,,,,,,,,,,,,,2003-2004
Celta Vigo,21,,,,,,,,,,,,,,,,,,2003-2004
Celtic,19,,,,,,,,,,,,,,,,,,2003-2004
Chelsea,21,,,,,,,,,,,,,,,,,,2003-2004
Club Brugge,21,,,,,,,,,,,,,,,,,,2003-2004
Dynamo Kyiv,19,,,,,,,,,,,,,,,,,,2003-2004
Galatasaray,22,,,,,,,,,,,,,,,,,,2003-2004
Inter,22,,,,,,,,,,,,,,,,,,2003-2004
Juventus,22,,,,,,,,,,,,,,,,,,2003-2004
La Coruña,22,,,,,,,,,,,,,,,,,,2003-2004
Lazio,21,,,,,,,,,,,,,,,,,,2003-2004
Loko Moscow,17,,,,,,,,,,,,,,,,,,2003-2004
Lyon,20,,,,,,,,,,,,,,,,,,2003-2004
Manchester Utd,22,,,,,,,,,,,,,,,,,,2003-2004
Marseille,19,,,,,,,,,,,,,,,,,,2003-2004
Milan,24,,,,,,,,,,,,,,,,,,2003-2004
Monaco,20,,,,,,,,,,,,,,,,,,2003-2004
Olympiacos,20,,,,,,,,,,,,,,,,,,2003-2004
Panathinaikos,21,,,,,,,,,,,,,,,,,,2003-2004
Partizan,22,,,,,,,,,,,,,,,,,,2003-2004
Porto,22,,,,,,,,,,,,,,,,,,2003-2004
PSV Eindhoven,19,,,,,,,,,,,,,,,,,,2003-2004
Rangers,19,,,,,,,,,,,,,,,,,,2003-2004
Real Madrid,19,,,,,,,,,,,,,,,,,,2003-2004
Real Sociedad,20,,,,,,,,,,,,,,,,,,2003-2004
Sparta Prague,21,,,,,,,,,,,,,,,,,,2003-2004
Stuttgart,21,,,,,,,,,,,,,,,,,,2003-2004
AEK Athens,17,,,,,,,,,,,,,,,,,,2002-2003
Ajax,27,,,,,,,,,,,,,,,,,,2002-2003
Arsenal,24,,,,,,,,,,,,,,,,,,2002-2003
Auxerre,17,,,,,,,,,,,,,,,,,,2002-2003
Barcelona,28,,,,,,,,,,,,,,,,,,2002-2003
Basel,20,,,,,,,,,,,,,,,,,,2002-2003
Bayern Munich,23,,,,,,,,,,,,,,,,,,2002-2003
Club Brugge,19,,,,,,,,,,,,,,,,,,2002-2003
Dortmund,21,,,,,,,,,,,,,,,,,,2002-2003
Dynamo Kyiv,18,,,,,,,,,,,,,,,,,,2002-2003
Feyenoord,20,,,,,,,,,,,,,,,,,,2002-2003
Galatasaray,21,,,,,,,,,,,,,,,,,,2002-2003
Genk,19,,,,,,,,,,,,,,,,,,2002-2003
Inter,24,,,,,,,,,,,,,,,,,,2002-2003
Juventus,27,,,,,,,,,,,,,,,,,,2002-2003
La Coruña,24,,,,,,,,,,,,,,,,,,2002-2003
Lens,18,,,,,,,,,,,,,,,,,,2002-2003
Leverkusen,26,,,,,,,,,,,,,,,,,,2002-2003
Liverpool,19,,,,,,,,,,,,,,,,,,2002-2003
Loko Moscow,20,,,,,,,,,,,,,,,,,,2002-2003
Lyon,18,,,,,,,,,,,,,,,,,,2002-2003
Maccabi Haifa,17,,,,,,,,,,,,,,,,,,2002-2003
Manchester Utd,30,,,,,,,,,,,,,,,,,,2002-2003
Milan,26,,,,,,,,,,,,,,,,,,2002-2003
Newcastle Utd,22,,,,,,,,,,,,,,,,,,2002-2003
Olympiacos,18,,,,,,,,,,,,,,,,,,2002-2003
PSV Eindhoven,19,,,,,,,,,,,,,,,,,,2002-2003
Real Madrid,23,,,,,,,,,,,,,,,,,,2002-2003
Roma,23,,,,,,,,,,,,,,,,,,2002-2003
Rosenborg,17,,,,,,,,,,,,,,,,,,2002-2003
Spartak Moscow,21,,,,,,,,,,,,,,,,,,2002-2003
Valencia,25,,,,,,,,,,,,,,,,,,2002-2003
Anderlecht,22,,,,,,,,,,,,,,,,,,2001-2002
Arsenal,25,,,,,,,,,,,,,,,,,,2001-2002
Barcelona,24,,,,,,,,,,,,,,,,,,2001-2002
Bayern Munich,23,,,,,,,,,,,,,,,,,,2001-2002
Boavista,23,,,,,,,,,,,,,,,,,,2001-2002
Celtic,17,,,,,,,,,,,,,,,,,,2001-2002
Dortmund,18,,,,,,,,,,,,,,,,,,2001-2002
Dynamo Kyiv,18,,,,,,,,,,,,,,,,,,2001-2002
Fenerbahçe,20,,,,,,,,,,,,,,,,,,2001-2002
Feyenoord,22,,,,,,,,,,,,,,,,,,2001-2002
Galatasaray,22,,,,,,,,,,,,,,,,,,2001-2002
Juventus,26,,,,,,,,,,,,,,,,,,2001-2002
La Coruña,24,,,,,,,,,,,,,,,,,,2001-2002
Lazio,20,,,,,,,,,,,,,,,,,,2001-2002
Leverkusen,20,,,,,,,,,,,,,,,,,,2001-2002
Lille,21,,,,,,,,,,,,,,,,,,2001-2002
Liverpool,22,,,,,,,,,,,,,,,,,,2001-2002
Loko Moscow,17,,,,,,,,,,,,,,,,,,2001-2002
Lyon,19,,,,,,,,,,,,,,,,,,2001-2002
Mallorca,23,,,,,,,,,,,,,,,,,,2001-2002
Manchester Utd,24,,,,,,,,,,,,,,,,,,2001-2002
Nantes,29,,,,,,,,,,,,,,,,,,2001-2002
Olympiacos,22,,,,,,,,,,,,,,,,,,2001-2002
Panathinaikos,22,,,,,,,,,,,,,,,,,,2001-2002
Porto,25,,,,,,,,,,,,,,,,,,2001-2002
PSV Eindhoven,23,,,,,,,,,,,,,,,,,,2001-2002
Real Madrid,29,,,,,,,,,,,,,,,,,,2001-2002
Roma,24,,,,,,,,,,,,,,,,,,2001-2002
Rosenborg,17,,,,,,,,,,,,,,,,,,2001-2002
Schalke 04,21,,,,,,,,,,,,,,,,,,2001-2002
Sparta Prague,22,,,,,,,,,,,,,,,,,,2001-2002
Spartak Moscow,18,,,,,,,,,,,,,,,,,,2001-2002
Anderlecht,19,,,,,,,,,,,,,,,,,,2000-2001
Arsenal,22,,,,,,,,,,,,,,,,,,2000-2001
Barcelona,21,,,,,,,,,,,,,,,,,,2000-2001
Bayern Munich,22,,,,,,,,,,,,,,,,,,2000-2001
Beşiktaş,21,,,,,,,,,,,,,,,,,,2000-2001
Dynamo Kyiv,19,,,,,,,,,,,,,,,,,,2000-2001
Galatasaray,22,,,,,,,,,,,,,,,,,,2000-2001
Hamburger SV,19,,,,,,,,,,,,,,,,,,2000-2001
Heerenveen,20,,,,,,,,,,,,,,,,,,2000-2001
Helsingborg,17,,,,,,,,,,,,,,,,,,2000-2001
Juventus,19,,,,,,,,,,,,,,,,,,2000-2001
La Coruña,24,,,,,,,,,,,,,,,,,,2000-2001
Lazio,25,,,,,,,,,,,,,,,,,,2000-2001
Leeds United,25,,,,,,,,,,,,,,,,,,2000-2001
Leverkusen,21,,,,,,,,,,,,,,,,,,2000-2001
Lyon,22,,,,,,,,,,,,,,,,,,2000-2001
Manchester Utd,22,,,,,,,,,,,,,,,,,,2000-2001
Milan,26,,,,,,,,,,,,,,,,,,2000-2001
Monaco,24,,,,,,,,,,,,,,,,,,2000-2001
Olympiacos,20,,,,,,,,,,,,,,,,,,2000-2001
Panathinaikos,21,,,,,,,,,,,,,,,,,,2000-2001
Paris S-G,25,,,,,,,,,,,,,,,,,,2000-2001
PSV Eindhoven,19,,,,,,,,,,,,,,,,,,2000-2001
Rangers,24,,,,,,,,,,,,,,,,,,2000-2001
Real Madrid,25,,,,,,,,,,,,,,,,,,2000-2001
Rosenborg,18,,,,,,,,,,,,,,,,,,2000-2001
Shakhtar Donetsk,18,,,,,,,,,,,,,,,,,,2000-2001
Sparta Prague,22,,,,,,,,,,,,,,,,,,2000-2001
Spartak Moscow,20,,,,,,,,,,,,,,,,,,2000-2001
Sporting CP,22,,,,,,,,,,,,,,,,,,2000-2001
Sturm Graz,24,,,,,,,,,,,,,,,,,,2000-2001
Valencia,25,,,,,,,,,,,,,,,,,,2000-2001
AIK Stockholm,19,,,,,,,,,,,,,,,,,,1999-2000
Arsenal,21,,,,,,,,,,,,,,,,,,1999-2000
Barcelona,24,,,,,,,,,,,,,,,,,,1999-2000
Bayern Munich,25,,,,,,,,,,,,,,,,,,1999-2000
Boavista,23,,,,,,,,,,,,,,,,,,1999-2000
Bordeaux,22,,,,,,,,,,,,,,,,,,1999-2000
Chelsea,21,,,,,,,,,,,,,,,,,,1999-2000
Croatia Zagreb,18,,,,,,,,,,,,,,,,,,1999-2000
Dortmund,19,,,,,,,,,,,,,,,,,,1999-2000
Dynamo Kyiv,22,,,,,,,,,,,,,,,,,,1999-2000
Feyenoord,19,,,,,,,,,,,,,,,,,,1999-2000
Fiorentina,22,,,,,,,,,,,,,,,,,,1999-2000
Galatasaray,21,,,,,,,,,,,,,,,,,,1999-2000
Hertha BSC,26,,,,,,,,,,,,,,,,,,1999-2000
Lazio,23,,,,,,,,,,,,,,,,,,1999-2000
Leverkusen,20,,,,,,,,,,,,,,,,,,1999-2000
Manchester Utd,24,,,,,,,,,,,,,,,,,,1999-2000
Marseille,29,,,,,,,,,,,,,,,,,,1999-2000
Milan,20,,,,,,,,,,,,,,,,,,1999-2000
Molde,15,,,,,,,,,,,,,,,,,,1999-2000
NK Maribor,17,,,,,,,,,,,,,,,,,,1999-2000
Olympiacos,19,,,,,,,,,,,,,,,,,,1999-2000
Porto,26,,,,,,,,,,,,,,,,,,1999-2000
PSV,20,,,,,,,,,,,,,,,,,,1999-2000
Rangers,19,,,,,,,,,,,,,,,,,,1999-2000
Real Madrid,26,,,,,,,,,,,,,,,,,,1999-2000
Rosenborg,19,,,,,,,,,,,,,,,,,,1999-2000
Sparta Prague,22,,,,,,,,,,,,,,,,,,1999-2000
Spartak Moscow,17,,,,,,,,,,,,,,,,,,1999-2000
Sturm Graz,22,,,,,,,,,,,,,,,,,,1999-2000
Valencia,21,,,,,,,,,,,,,,,,,,1999-2000
Willem II,21,,,,,,,,,,,,,,,,,,1999-2000
Ajax,23,,,,,,,,,,,,,,,,,,1998-1999
Arsenal,23,,,,,,,,,,,,,,,,,,1998-1999
Athletic Club,22,,,,,,,,,,,,,,,,,,1998-1999
Barcelona,18,,,,,,,,,,,,,,,,,,1998-1999
Bayern Munich,20,,,,,,,,,,,,,,,,,,1998-1999
Benfica,20,,,,,,,,,,,,,,,,,,1998-1999
Brøndby,20,,,,,,,,,,,,,,,,,,1998-1999
Croatia Zagreb,20,,,,,,,,,,,,,,,,,,1998-1999
Dynamo Kyiv,21,,,,,,,,,,,,,,,,,,1998-1999
Galatasaray,20,,,,,,,,,,,,,,,,,,1998-1999
HJK Helsinki,20,,,,,,,,,,,,,,,,,,1998-1999
Inter,22,,,,,,,,,,,,,,,,,,1998-1999
Juventus,23,,,,,,,,,,,,,,,,,,1998-1999
Kaiserslautern,20,,,,,,,,,,,,,,,,,,1998-1999
Lens,19,,,,,,,,,,,,,,,,,,1998-1999
Manchester Utd,20,,,,,,,,,,,,,,,,,,1998-1999
Olympiacos,19,,,,,,,,,,,,,,,,,,1998-1999
Panathinaikos,19,,,,,,,,,,,,,,,,,,1998-1999
Porto,20,,,,,,,,,,,,,,,,,,1998-1999
PSV,23,,,,,,,,,,,,,,,,,,1998-1999
Real Madrid,18,,,,,,,,,,,,,,,,,,1998-1999
Rosenborg,18,,,,,,,,,,,,,,,,,,1998-1999
Spartak Moscow,18,,,,,,,,,,,,,,,,,,1998-1999
Sturm Graz,19,,,,,,,,,,,,,,,,,,1998-1999
Barcelona,24,,,,,,,,,,,,,,,,,,1997-1998
Bayern Munich,18,,,,,,,,,,,,,,,,,,1997-1998
Beşiktaş,21,,,,,,,,,,,,,,,,,,1997-1998
Dortmund,26,,,,,,,,,,,,,,,,,,1997-1998
Dynamo Kyiv,20,,,,,,,,,,,,,,,,,,1997-1998
Feyenoord,19,,,,,,,,,,,,,,,,,,1997-1998
Galatasaray,19,,,,,,,,,,,,,,,,,,1997-1998
Göteborg,19,,,,,,,,,,,,,,,,,,1997-1998
Juventus,20,,,,,,,,,,,,,,,,,,1997-1998
Košice,17,,,,,,,,,,,,,,,,,,1997-1998
Leverkusen,19,,,,,,,,,,,,,,,,,,1997-1998
Lierse,19,,,,,,,,,,,,,,,,,,1997-1998
Manchester Utd,19,,,,,,,,,,,,,,,,,,1997-1998
Monaco,23,,,,,,,,,,,,,,,,,,1997-1998
Newcastle Utd,20,,,,,,,,,,,,,,,,,,1997-1998
Olympiacos,21,,,,,,,,,,,,,,,,,,1997-1998
Paris S-G,19,,,,,,,,,,,,,,,,,,1997-1998
Parma,20,,,,,,,,,,,,,,,,,,1997-1998
Porto,23,,,,,,,,,,,,,,,,,,1997-1998
PSV,19,,,,,,,,,,,,,,,,,,1997-1998
Real Madrid,23,,,,,,,,,,,,,,,,,,1997-1998
Rosenborg,17,,,,,,,,,,,,,,,,,,1997-1998
Sparta Prague,20,,,,,,,,,,,,,,,,,,1997-1998
Sporting CP,22,,,,,,,,,,,,,,,,,,1997-1998
Ajax,22,,,,,,,,,,,,,,,,,,1996-1997
Atlético Madrid,19,,,,,,,,,,,,,,,,,,1996-1997
Auxerre,21,,,,,,,,,,,,,,,,,,1996-1997
Dortmund,24,,,,,,,,,,,,,,,,,,1996-1997
Fenerbahçe,18,,,,,,,,,,,,,,,,,,1996-1997
Göteborg,16,,,,,,,,,,,,,,,,,,1996-1997
Grasshopper,19,,,,,,,,,,,,,,,,,,1996-1997
Juventus,21,,,,,,,,,,,,,,,,,,1996-1997
Manchester Utd,20,,,,,,,,,,,,,,,,,,1996-1997
Milan,21,,,,,,,,,,,,,,,,,,1996-1997
Porto,23,,,,,,,,,,,,,,,,,,1996-1997
Rangers,23,,,,,,,,,,,,,,,,,,1996-1997
Rapid Wien,18,,,,,,,,,,,,,,,,,,1996-1997
Rosenborg,19,,,,,,,,,,,,,,,,,,1996-1997
