Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Leverkusen,20,6.0,105,67,55,44,6,42,108,38.9,66,55,8,47,62,167,87,8,2019-2020
Lille,21,6.0,106,67,54,39,13,39,127,30.7,88,69,19,50,84,190,120,4,2019-2020
Liverpool,20,8.3,146,94,60,66,20,61,122,50.0,61,64,6,58,76,222,82,3,2019-2020
Loko Moscow,20,6.0,91,49,47,32,12,39,116,33.6,77,79,33,46,98,189,170,3,2019-2020
Lyon,24,10.0,139,82,66,55,18,56,139,40.3,83,123,38,85,110,249,237,3,2019-2020
Manchester City,23,9.0,144,83,59,60,25,81,181,44.8,100,59,16,43,110,254,91,5,2019-2020
Napoli,24,8.0,134,90,78,38,18,73,175,41.7,102,98,27,71,96,230,165,5,2019-2020
Olympiacos,17,6.0,99,61,57,35,7,56,110,50.9,54,50,24,26,57,156,127,5,2019-2020
Paris S-G,24,11.0,194,111,100,72,22,82,196,41.8,114,122,36,86,121,315,188,1,2019-2020
RB Leipzig,25,10.0,197,115,99,80,18,86,215,40.0,129,98,19,79,99,296,186,4,2019-2020
RB Salzburg,21,6.0,127,75,67,46,14,66,170,38.8,104,70,23,47,63,190,134,4,2019-2020
Real Madrid,25,8.0,123,78,59,46,18,46,131,35.1,85,72,27,45,92,215,110,7,2019-2020
Red Star,19,6.0,119,70,65,44,10,63,166,38.0,103,68,25,43,74,193,140,7,2019-2020
Shakhtar,18,6.0,91,52,55,29,7,39,114,34.2,75,54,17,37,64,155,120,6,2019-2020
Slavia Prague,20,6.0,83,46,35,30,18,37,119,31.1,82,73,14,59,77,160,73,2,2019-2020
Tottenham,28,8.0,122,74,53,55,14,59,147,40.1,88,82,30,52,68,190,152,3,2019-2020
Valencia,23,8.0,123,74,56,60,7,56,148,37.8,92,92,32,60,92,215,185,2,2019-2020
Zenit,19,6.0,106,68,63,34,9,40,124,32.3,84,68,26,42,95,201,156,0,2019-2020
AEK Athens,20,6.0,95,67,57,33,5,32,86,37.2,54,60,24,36,90,185,138,2,2018-2019
Ajax,22,12.0,267,156,106,123,38,109,247,44.1,138,152,32,120,173,440,229,7,2018-2019
Atlético Madrid,21,8.0,121,78,60,46,15,52,120,43.3,68,72,18,54,110,231,168,3,2018-2019
Barcelona,23,12.0,200,128,82,94,24,76,166,45.8,90,129,39,90,121,321,198,12,2018-2019
Bayern Munich,20,8.0,151,94,69,66,16,49,137,35.8,88,96,20,76,132,283,131,4,2018-2019
Benfica,20,6.0,137,95,68,62,7,61,120,50.8,59,81,17,64,86,223,116,2,2018-2019
Club Brugge,25,6.0,111,60,69,33,9,38,81,46.9,43,72,13,59,84,195,165,0,2018-2019
CSKA Moscow,22,6.0,104,67,66,31,7,38,111,34.2,73,76,21,55,62,166,187,3,2018-2019
Dortmund,24,8.0,152,98,57,77,18,53,117,45.3,64,88,22,66,101,253,129,3,2018-2019
Galatasaray,21,6.0,119,72,57,51,11,44,82,53.7,38,73,22,51,51,170,108,4,2018-2019
Hoffenheim,25,6.0,119,62,75,31,13,51,123,41.5,72,65,21,44,54,173,89,6,2018-2019
Inter,17,6.0,109,61,65,40,4,38,104,36.5,66,62,17,45,62,171,125,3,2018-2019
Juventus,22,10.0,141,88,69,54,18,53,133,39.8,80,100,31,69,116,257,175,4,2018-2019
Liverpool,20,13.0,226,133,92,96,38,101,207,48.8,106,112,20,92,114,340,226,8,2018-2019
Loko Moscow,19,6.0,114,80,56,46,12,43,106,40.6,63,72,24,48,93,207,141,4,2018-2019
Lyon,21,8.0,141,79,72,61,8,50,112,44.6,62,99,34,65,100,241,197,2,2018-2019
Manchester City,21,10.0,132,79,42,67,23,43,135,31.9,92,93,25,68,116,248,169,8,2018-2019
Manchester Utd,26,10.0,145,85,71,60,14,58,139,41.7,81,122,33,89,90,235,219,2,2018-2019
Monaco,29,6.0,87,52,46,36,5,25,65,38.5,40,60,8,52,66,153,125,3,2018-2019
Napoli,18,6.0,106,68,48,52,6,39,109,35.8,70,46,16,30,57,163,134,3,2018-2019
Paris S-G,20,8.0,116,73,55,52,9,30,90,33.3,60,67,20,47,79,195,155,3,2018-2019
Porto,25,10.3,180,122,99,58,23,64,145,44.1,81,118,32,86,119,299,225,3,2018-2019
PSV Eindhoven,18,6.0,89,47,56,22,11,32,102,31.4,70,95,45,50,73,162,220,2,2018-2019
Real Madrid,24,8.0,128,95,67,47,14,62,134,46.3,72,80,22,58,106,234,106,7,2018-2019
Red Star,20,6.0,86,48,53,27,6,30,90,33.3,60,77,25,52,109,195,206,4,2018-2019
Roma,24,8.3,122,77,58,50,14,41,115,35.7,74,92,29,63,81,203,168,4,2018-2019
Schalke 04,27,8.0,170,107,87,72,11,68,167,40.7,99,100,27,73,108,278,155,4,2018-2019
Shakhtar,20,6.0,84,52,42,37,5,28,90,31.1,62,64,26,38,75,159,121,5,2018-2019
Tottenham,24,13.0,195,110,85,87,23,76,179,42.5,103,145,43,102,144,339,239,7,2018-2019
