Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
CSKA Moscow,2,6,6,540,,10,1.67,33,23,69.7,0,1,5,0,0.0,,,,,,2007-2008
Dynamo Kyiv,3,8,8,540,,19,3.17,51,32,62.7,2,0,6,0,0.0,,,,,,2007-2008
Fenerbahçe,1,12,12,930,,14,1.35,40,26,65.0,7,2,3,3,25.0,,,,,,2007-2008
Inter,1,8,8,720,,7,0.87,29,22,75.9,5,0,3,3,37.5,,,,,,2007-2008
Lazio,1,8,8,540,,11,1.83,33,22,66.7,2,3,3,0,0.0,,,,,,2007-2008
Liverpool,1,14,14,"1,110",,12,0.97,44,32,72.7,8,3,3,4,28.6,,,,,,2007-2008
Lyon,2,8,8,720,,12,1.50,42,30,71.4,3,2,3,2,25.0,,,,,,2007-2008
Manchester Utd,2,13,13,"1,200",,6,0.45,59,53,89.8,9,5,0,8,61.5,,,,,,2007-2008
Marseille,1,6,6,540,,9,1.50,19,10,52.6,2,1,3,2,33.3,,,,,,2007-2008
Milan,2,8,8,720,,7,0.87,46,39,84.8,4,2,2,3,37.5,,,,,,2007-2008
Olympiacos,1,8,8,720,,10,1.25,43,33,76.7,3,3,2,3,37.5,,,,,,2007-2008
Porto,2,8,8,750,,8,0.96,33,25,75.8,4,2,2,3,37.5,,,,,,2007-2008
PSV Eindhoven,1,6,6,540,,6,1.00,24,18,75.0,2,1,3,2,33.3,,,,,,2007-2008
Rangers,1,10,10,540,,9,1.50,51,42,82.4,5,2,3,2,20.0,,,,,,2007-2008
Real Madrid,1,8,8,720,,13,1.62,42,29,69.0,3,2,3,1,12.5,,,,,,2007-2008
Roma,2,10,10,900,,11,1.10,47,36,76.6,5,2,3,1,10.0,,,,,,2007-2008
Rosenborg,1,10,10,540,,10,1.67,42,32,76.2,6,1,3,0,0.0,,,,,,2007-2008
Schalke 04,1,10,10,930,,7,0.68,48,41,85.4,3,2,5,4,40.0,,,,,,2007-2008
Sevilla,2,10,10,750,,12,1.44,29,17,58.6,8,0,2,2,20.0,,,,,,2007-2008
Shakhtar,1,10,10,540,,11,1.83,33,22,66.7,5,0,5,2,20.0,,,,,,2007-2008
Slavia Prague,2,10,10,540,,16,2.67,32,16,50.0,3,4,3,1,10.0,,,,,,2007-2008
Sporting CP,3,6,6,540,,8,1.33,35,27,77.1,2,1,3,0,0.0,,,,,,2007-2008
Steaua,1,10,10,540,,10,1.67,32,22,68.8,3,2,5,0,0.0,,,,,,2007-2008
Stuttgart,1,6,6,540,,15,2.50,58,43,74.1,1,0,5,1,16.7,,,,,,2007-2008
Valencia,2,8,8,540,,6,1.00,27,21,77.8,3,2,3,4,50.0,,,,,,2007-2008
Werder Bremen,2,8,8,540,,13,2.17,43,30,69.8,4,0,4,0,0.0,,,,,,2007-2008
AEK Athens,1,8,8,540,,9,1.50,33,24,72.7,4,2,2,3,37.5,,,,,,2006-2007
Anderlecht,2,6,6,540,,11,1.83,40,29,72.5,0,4,2,0,0.0,,,,,,2006-2007
Arsenal,1,10,10,720,,5,0.62,29,24,82.8,5,3,2,3,30.0,,,,,,2006-2007
Barcelona,1,8,8,720,,6,0.75,27,21,77.8,4,2,2,4,50.0,,,,,,2006-2007
Bayern Munich,1,10,10,810,,9,1.00,41,32,78.0,4,4,2,4,40.0,,,,,,2006-2007
Benfica,1,8,8,540,,8,1.33,34,26,76.5,3,2,3,2,25.0,,,,,,2006-2007
Bordeaux,1,6,6,540,,7,1.17,25,18,72.0,2,1,3,1,16.7,,,,,,2006-2007
Celtic,1,8,8,750,,10,1.20,42,32,76.2,3,1,4,4,50.0,,,,,,2006-2007
Chelsea,3,12,12,"1,110",,9,0.73,38,29,76.3,7,3,2,4,33.3,,,,,,2006-2007
CSKA Moscow,1,8,8,540,,6,1.00,22,16,72.7,4,2,2,3,37.5,,,,,,2006-2007
Dynamo Kyiv,2,10,10,518,,15,2.61,39,24,61.5,3,3,4,0,0.0,,,,,,2006-2007
FC Copenhagen,1,10,10,540,,7,1.17,26,19,73.1,4,2,4,2,20.0,,,,,,2006-2007
Galatasaray,1,8,8,540,,12,2.00,41,29,70.7,2,2,4,1,12.5,,,,,,2006-2007
Hamburger SV,2,8,8,540,,15,2.50,42,27,64.3,1,2,5,1,12.5,,,,,,2006-2007
Inter,2,8,8,720,,7,0.87,36,29,80.6,3,3,2,3,37.5,,,,,,2006-2007
Levski Sofia,3,10,10,540,,19,3.17,43,24,55.8,3,1,6,0,0.0,,,,,,2006-2007
Lille,2,10,10,720,,7,0.87,35,28,80.0,4,3,3,2,20.0,,,,,,2006-2007
Liverpool,2,15,15,"1,200",,10,0.75,47,37,78.7,9,3,4,7,46.7,,,,,,2006-2007
Lyon,2,8,8,720,,5,0.62,28,23,82.1,4,3,1,5,62.5,,,,,,2006-2007
Manchester Utd,1,12,12,"1,080",,13,1.08,45,32,71.1,8,0,4,4,33.3,,,,,,2006-2007
Milan,2,15,15,"1,200",,10,0.75,51,41,80.4,9,4,3,7,46.7,,,,,,2006-2007
Olympiacos,1,6,6,540,,11,1.83,30,19,63.3,0,3,3,0,0.0,,,,,,2006-2007
Porto,1,8,8,720,,7,0.87,24,17,70.8,3,3,2,3,37.5,,,,,,2006-2007
PSV Eindhoven,1,10,10,900,,11,1.10,49,38,77.6,4,2,4,4,40.0,,,,,,2006-2007
Real Madrid,2,8,8,720,,12,1.50,39,27,69.2,4,2,2,1,12.5,,,,,,2006-2007
Roma,1,10,10,900,,12,1.20,41,29,70.7,5,2,3,5,50.0,,,,,,2006-2007
Shakhtar,3,8,8,540,,11,1.83,28,17,60.7,3,3,2,1,12.5,,,,,,2006-2007
Spartak Moscow,2,10,10,540,,11,1.83,28,17,60.7,2,5,3,0,0.0,,,,,,2006-2007
Sporting CP,1,6,6,540,,6,1.00,22,16,72.7,1,2,3,2,33.3,,,,,,2006-2007
Steaua,2,10,10,540,,11,1.83,31,20,64.5,4,3,3,0,0.0,,,,,,2006-2007
Valencia,2,12,12,900,,11,1.10,30,19,63.3,5,4,3,3,25.0,,,,,,2006-2007
Werder Bremen,2,6,6,540,,4,0.67,22,18,81.8,3,1,2,3,50.0,,,,,,2006-2007
Ajax,2,10,10,900,,9,0.90,34,25,73.5,4,4,2,3,30.0,,,,,,2005-2006
Anderlecht,2,10,10,540,,8,1.33,32,24,75.0,4,0,6,1,10.0,,,,,,2005-2006
Arsenal,2,13,13,"1,170",,4,0.31,41,37,90.2,8,5,1,9,69.2,,,,,,2005-2006
Artmedia,1,12,12,540,,9,1.50,33,24,72.7,3,5,4,2,16.7,,,,,,2005-2006
Barcelona,2,13,13,"1,170",,5,0.38,45,40,88.9,9,5,0,9,69.2,,,,,,2005-2006
Bayern Munich,2,8,8,720,,9,1.13,39,30,76.9,4,2,2,3,37.5,,,,,,2005-2006
Benfica,4,10,10,900,,6,0.60,43,37,86.0,4,3,3,5,50.0,,,,,,2005-2006
Betis,2,8,8,630,,7,1.00,33,26,78.8,3,2,3,2,25.0,,,,,,2005-2006
Chelsea,2,8,8,720,,4,0.50,27,23,85.2,3,3,2,6,75.0,,,,,,2005-2006
Club Brugge,2,8,8,540,,7,1.17,20,13,65.0,3,1,4,1,12.5,,,,,,2005-2006
Fenerbahçe,1,6,6,540,,14,2.33,40,26,65.0,1,1,4,0,0.0,,,,,,2005-2006
Inter,2,12,12,900,,8,0.80,41,33,80.5,7,3,2,4,33.3,,,,,,2005-2006
Juventus,2,10,10,900,,11,1.10,39,28,71.8,6,1,3,3,30.0,,,,,,2005-2006
Lille,1,6,6,540,,2,0.33,19,17,89.5,1,3,2,4,66.7,,,,,,2005-2006
Liverpool,1,14,14,720,,4,0.50,26,22,84.6,8,3,3,5,35.7,,,,,,2005-2006
Lyon,2,10,10,900,,8,0.80,45,37,82.2,7,2,1,5,50.0,,,,,,2005-2006
Manchester Utd,1,8,8,540,,4,0.67,21,17,81.0,3,3,2,3,37.5,,,,,,2005-2006
Milan,2,12,12,"1,080",,10,0.83,35,25,71.4,5,5,2,5,41.7,,,,,,2005-2006
Olympiacos,1,6,6,450,,9,1.80,25,16,64.0,1,1,4,0,0.0,,,,,,2005-2006
Panathinaikos,1,8,8,540,,16,2.67,43,27,62.8,2,1,5,1,12.5,,,,,,2005-2006
Porto,1,6,6,540,,9,1.50,23,14,60.9,1,2,3,2,33.3,,,,,,2005-2006
PSV Eindhoven,1,8,8,720,,11,1.37,41,30,73.2,3,1,4,3,37.5,,,,,,2005-2006
Rangers,1,10,10,720,,10,1.25,37,27,73.0,3,6,1,1,10.0,,,,,,2005-2006
Rapid Wien,2,10,10,540,,15,2.50,37,22,59.5,3,1,6,0,0.0,,,,,,2005-2006
Real Madrid,2,8,8,720,,9,1.13,30,21,70.0,3,2,3,2,25.0,,,,,,2005-2006
Rosenborg,1,8,8,540,,11,1.83,34,23,67.6,2,2,4,0,0.0,,,,,,2005-2006
Schalke 04,1,6,6,540,,9,1.50,33,24,72.7,2,2,2,1,16.7,,,,,,2005-2006
Sparta Prague,1,6,6,540,,9,1.50,31,22,71.0,0,2,4,1,16.7,,,,,,2005-2006
Thun,1,10,10,540,,9,1.50,28,19,67.9,4,2,4,0,0.0,,,,,,2005-2006
Udinese,1,8,8,720,,12,1.50,34,22,64.7,4,1,3,0,0.0,,,,,,2005-2006
Villarreal,2,14,14,"1,170",,7,0.54,43,36,83.7,5,7,2,7,50.0,,,,,,2005-2006
Werder Bremen,1,10,10,720,,12,1.50,34,22,64.7,4,1,5,1,10.0,,,,,,2005-2006
Ajax,3,6,6,540,,13,2.17,39,26,66.7,1,1,4,1,16.7,,,,,,2004-2005
Anderlecht,3,8,8,540,,17,2.83,47,30,63.8,1,0,7,0,0.0,,,,,,2004-2005
Arsenal,2,8,8,720,,10,1.25,40,30,75.0,3,4,1,2,25.0,,,,,,2004-2005
Barcelona,1,8,8,720,,11,1.37,38,27,71.1,4,1,3,1,12.5,,,,,,2004-2005
Bayern Munich,1,10,10,900,,13,1.30,45,32,71.1,5,1,4,2,20.0,,,,,,2004-2005
Celtic,2,6,6,540,,10,1.67,35,25,71.4,1,2,3,2,33.3,,,,,,2004-2005
Chelsea,2,12,12,"1,080",,13,1.08,45,32,71.1,6,2,4,5,41.7,,,,,,2004-2005
CSKA Moscow,1,10,10,540,,5,0.83,32,27,84.4,4,3,3,2,20.0,,,,,,2004-2005
Dynamo Kyiv,1,8,8,450,,8,1.60,31,23,74.2,4,1,3,1,12.5,,,,,,2004-2005
Fenerbahçe,2,6,6,540,,13,2.17,43,30,69.8,3,0,3,3,50.0,,,,,,2004-2005
Inter,3,12,12,810,,7,0.78,41,34,82.9,6,4,2,3,25.0,,,,,,2004-2005
Juventus,2,12,12,930,,4,0.39,36,32,88.9,7,3,2,7,58.3,,,,,,2004-2005
La Coruña,2,8,8,540,,9,1.50,33,24,72.7,1,3,4,2,25.0,,,,,,2004-2005
Leverkusen,1,10,10,720,,13,1.62,46,33,71.7,4,2,4,2,20.0,,,,,,2004-2005
Liverpool,3,15,15,"1,200",,9,0.68,67,58,86.6,8,5,3,6,40.0,,,,,,2004-2005
Lyon,2,10,10,930,,11,1.06,46,35,76.1,6,3,1,1,10.0,,,,,,2004-2005
Maccabi Tel Aviv,2,10,10,540,,12,2.00,44,32,72.7,4,2,4,0,0.0,,,,,,2004-2005
Manchester Utd,2,10,10,720,,11,1.37,35,24,68.6,5,2,3,1,10.0,,,,,,2004-2005
Milan,1,13,13,"1,110",,9,0.73,51,42,82.4,9,3,2,8,61.5,,,,,,2004-2005
Monaco,1,10,10,720,,7,0.87,43,36,83.7,6,0,4,3,30.0,,,,,,2004-2005
Olympiacos,1,6,6,540,,5,0.83,28,23,82.1,3,1,2,4,66.7,,,,,,2004-2005
Panathinaikos,2,6,6,540,,8,1.33,32,24,75.0,2,3,1,0,0.0,,,,,,2004-2005
Paris S-G,1,6,6,540,,8,1.33,34,26,76.5,1,2,3,3,50.0,,,,,,2004-2005
Porto,2,8,8,720,,10,1.25,42,32,76.2,2,3,3,3,37.5,,,,,,2004-2005
PSV Eindhoven,2,14,14,"1,110",,14,1.14,56,42,75.0,7,3,4,4,28.6,,,,,,2004-2005
Real Madrid,1,10,10,750,,10,1.20,46,36,78.3,6,2,2,3,30.0,,,,,,2004-2005
Roma,2,6,6,450,,13,2.60,31,18,58.1,0,1,5,0,0.0,,,,,,2004-2005
Rosenborg,1,10,10,540,,13,2.17,42,29,69.0,4,2,4,0,0.0,,,,,,2004-2005
Shakhtar,1,10,10,540,,9,1.50,34,25,73.5,5,1,4,2,20.0,,,,,,2004-2005
Sparta Prague,1,10,10,540,,13,2.17,41,28,68.3,2,2,6,1,10.0,,,,,,2004-2005
Valencia,1,6,6,540,,10,1.67,34,24,70.6,2,1,3,2,33.3,,,,,,2004-2005
Werder Bremen,1,8,8,720,,16,2.00,43,27,62.8,4,1,3,1,12.5,,,,,,2004-2005
AEK Athens,2,8,8,540,,11,1.83,25,14,56.0,1,2,5,1,12.5,,,,,,2003-2004
Ajax,1,8,8,540,,7,1.17,28,21,75.0,3,1,4,2,25.0,,,,,,2003-2004
Anderlecht,1,10,10,540,,6,1.00,22,16,72.7,5,2,3,2,20.0,,,,,,2003-2004
Arsenal,1,10,10,900,,11,1.10,41,30,73.2,5,2,3,3,30.0,,,,,,2003-2004
Bayern Munich,1,8,8,720,,7,0.87,38,31,81.6,2,4,2,2,25.0,,,,,,2003-2004
Beşiktaş,1,6,6,540,,7,1.17,34,27,79.4,2,1,3,2,33.3,,,,,,2003-2004
Celta Vigo,2,10,10,720,,11,1.37,41,30,73.2,3,3,4,1,10.0,,,,,,2003-2004
Celtic,1,10,10,540,,7,1.17,34,27,79.4,6,1,3,2,20.0,,,,,,2003-2004
Chelsea,2,14,14,"1,080",,10,0.83,45,35,77.8,8,4,2,4,28.6,,,,,,2003-2004
Club Brugge,2,8,8,540,,6,1.00,35,29,82.9,3,2,3,1,12.5,,,,,,2003-2004
Dynamo Kyiv,1,8,8,540,,8,1.33,43,35,81.4,4,1,3,1,12.5,,,,,,2003-2004
Galatasaray,1,8,8,540,,8,1.33,34,26,76.5,4,1,3,1,12.5,,,,,,2003-2004
Inter,1,6,6,540,,11,1.83,37,26,70.3,2,2,2,1,16.7,,,,,,2003-2004
Juventus,1,8,8,540,,6,1.00,22,16,72.7,4,1,3,2,25.0,,,,,,2003-2004
La Coruña,2,14,14,"1,080",,17,1.42,51,34,66.7,7,3,4,8,57.1,,,,,,2003-2004
Lazio,2,8,8,540,,10,1.67,38,28,73.7,3,2,3,1,12.5,,,,,,2003-2004
Loko Moscow,1,10,10,540,,7,1.17,42,35,83.3,4,2,4,2,20.0,,,,,,2003-2004
Lyon,3,10,10,900,,11,1.10,43,32,74.4,5,2,3,4,40.0,,,,,,2003-2004
Manchester Utd,2,8,8,540,,5,0.83,27,22,81.5,5,1,2,4,50.0,,,,,,2003-2004
Marseille,2,8,8,540,,11,1.83,52,41,78.8,2,2,4,1,12.5,,,,,,2003-2004
Milan,2,10,10,900,,9,0.90,40,31,77.5,5,2,3,4,40.0,,,,,,2003-2004
Monaco,2,13,13,"1,170",,19,1.46,65,46,70.8,6,4,4,1,7.7,,,,,,2003-2004
Olympiacos,3,6,6,540,,13,2.17,41,28,68.3,1,1,4,0,0.0,,,,,,2003-2004
Panathinaikos,2,6,6,540,,13,2.17,45,32,71.1,1,1,4,0,0.0,,,,,,2003-2004
Partizan,2,10,10,540,,8,1.33,37,29,78.4,1,5,4,1,10.0,,,,,,2003-2004
Porto,1,13,13,"1,170",,12,0.92,51,39,76.5,7,6,1,0,0.0,,,,,,2003-2004
PSV Eindhoven,1,6,6,540,,7,1.17,28,21,75.0,3,1,2,1,16.7,,,,,,2003-2004
Rangers,1,8,8,540,,10,1.67,30,20,66.7,2,2,4,0,0.0,,,,,,2003-2004
Real Madrid,1,10,10,810,,10,1.11,34,24,70.6,6,3,1,2,20.0,,,,,,2003-2004
Real Sociedad,2,8,8,540,,10,1.67,36,26,72.2,2,3,3,1,12.5,,,,,,2003-2004
Sparta Prague,1,10,10,540,,9,1.50,44,35,79.5,3,4,3,3,30.0,,,,,,2003-2004
Stuttgart,1,8,8,720,,7,0.87,34,27,79.4,4,1,3,2,25.0,,,,,,2003-2004
AEK Athens,1,8,8,540,,7,1.17,41,34,82.9,2,6,0,2,25.0,,,,,,2002-2003
Ajax,4,14,14,"1,260",,13,0.93,72,59,81.9,3,8,3,4,28.6,,,,,,2002-2003
Arsenal,3,12,12,"1,080",,9,0.75,49,40,81.6,4,5,3,6,50.0,,,,,,2002-2003
Auxerre,1,8,8,540,,7,1.17,27,20,74.1,3,2,3,2,25.0,,,,,,2002-2003
Barcelona,3,16,16,"1,290",,9,0.63,48,39,81.3,13,2,1,7,43.8,,,,,,2002-2003
Basel,1,16,16,"1,080",,22,1.83,80,58,72.5,6,5,5,1,6.3,,,,,,2002-2003
Bayern Munich,2,8,8,540,,13,2.17,32,19,59.4,2,2,4,0,0.0,,,,,,2002-2003
Club Brugge,1,10,10,540,,7,1.17,31,24,77.4,3,4,3,2,20.0,,,,,,2002-2003
Dortmund,1,12,12,"1,080",,12,1.00,60,48,80.0,6,2,4,3,25.0,,,,,,2002-2003
Dynamo Kyiv,1,10,10,540,,9,1.50,25,16,64.0,5,2,3,3,30.0,,,,,,2002-2003
Feyenoord,2,8,8,540,,8,1.33,37,29,78.4,3,2,3,2,25.0,,,,,,2002-2003
Galatasaray,1,6,6,540,,10,1.67,37,27,73.0,1,1,4,2,33.3,,,,,,2002-2003
Genk,2,8,8,530,,9,1.53,31,22,71.0,1,4,3,2,25.0,,,,,,2002-2003
Inter,1,18,18,"1,530",,19,1.12,102,83,81.4,8,7,3,6,33.3,,,,,,2002-2003
Juventus,2,17,17,"1,590",,19,1.08,97,78,80.4,8,5,5,5,29.4,,,,,,2002-2003
La Coruña,3,12,12,"1,080",,20,1.67,59,39,66.1,6,1,5,2,16.7,,,,,,2002-2003
Lens,1,6,6,540,,11,1.83,28,17,60.7,2,2,2,17,283.3,,,,,,2002-2003
Leverkusen,2,12,12,"1,080",,26,2.17,66,40,60.6,3,0,9,2,16.7,,,,,,2002-2003
Liverpool,1,6,6,540,,8,1.33,25,17,68.0,2,2,2,1,16.7,,,,,,2002-2003
Loko Moscow,1,14,14,"1,080",,17,1.42,69,52,75.4,3,3,8,1,7.1,,,,,,2002-2003
Lyon,1,6,6,540,,9,1.50,23,14,60.9,2,2,2,1,16.7,,,,,,2002-2003
Maccabi Haifa,1,10,10,540,,12,2.00,49,37,75.5,5,2,3,2,20.0,,,,,,2002-2003
Manchester Utd,3,16,16,"1,260",,19,1.36,77,58,75.3,11,1,4,4,25.0,,,,,,2002-2003
Milan,2,19,19,"1,560",,14,0.81,71,57,80.3,10,5,5,6,31.6,,,,,,2002-2003
Newcastle Utd,2,14,14,"1,080",,21,1.75,59,38,64.4,7,1,6,1,7.1,,,,,,2002-2003
Olympiacos,1,6,6,540,,17,2.83,37,20,54.1,1,1,4,0,0.0,,,,,,2002-2003
PSV Eindhoven,2,6,6,540,,8,1.33,22,14,63.6,1,3,2,2,33.3,,,,,,2002-2003
Real Madrid,2,16,16,"1,440",,22,1.37,80,58,72.5,7,5,4,3,18.8,,,,,,2002-2003
Roma,2,12,12,"1,080",,12,1.00,44,32,72.7,3,5,4,4,33.3,,,,,,2002-2003
Rosenborg,1,8,8,540,,12,2.00,33,21,63.6,2,4,2,1,12.5,,,,,,2002-2003
Spartak Moscow,2,6,6,540,,18,3.00,44,26,59.1,0,0,6,0,0.0,,,,,,2002-2003
Valencia,2,14,14,"1,260",,12,0.86,57,45,78.9,8,4,2,5,35.7,,,,,,2002-2003
Anderlecht,1,10,10,540,,13,2.17,41,28,68.3,3,4,3,0,0.0,,,,,,2001-2002
Arsenal,3,12,12,"1,080",,18,1.50,48,30,62.5,5,1,6,2,16.7,,,,,,2001-2002
Barcelona,2,18,18,"1,440",,17,1.06,59,42,71.2,10,4,4,5,27.8,,,,,,2001-2002
Bayern Munich,1,14,14,"1,080",,10,0.83,45,35,77.8,8,5,1,6,42.9,,,,,,2001-2002
Boavista,1,12,12,"1,080",,15,1.25,49,34,69.4,3,4,5,4,33.3,,,,,,2001-2002
Celtic,1,8,8,540,,11,1.83,34,23,67.6,4,0,4,1,12.5,,,,,,2001-2002
Dortmund,1,8,8,540,,7,1.17,21,14,66.7,4,2,2,3,37.5,,,,,,2001-2002
Dynamo Kyiv,2,8,8,540,,9,1.50,29,20,69.0,2,2,4,1,12.5,,,,,,2001-2002
Fenerbahçe,1,8,8,540,,12,2.00,36,24,66.7,1,1,6,0,0.0,,,,,,2001-2002
Feyenoord,2,6,6,540,,14,2.33,36,22,61.1,1,2,3,0,0.0,,,,,,2001-2002
Galatasaray,1,16,16,"1,080",,10,0.83,55,45,81.8,6,7,3,5,31.3,,,,,,2001-2002
Juventus,2,12,12,"1,080",,16,1.33,54,38,70.4,5,3,4,4,33.3,,,,,,2001-2002
La Coruña,2,14,14,"1,260",,19,1.36,69,50,72.5,5,5,4,3,21.4,,,,,,2001-2002
Lazio,1,8,8,540,,7,1.17,30,23,76.7,3,0,5,2,25.0,,,,,,2001-2002
Leverkusen,1,19,19,"1,530",,28,1.65,81,53,65.4,9,5,6,4,21.1,,,,,,2001-2002
Lille,1,8,8,540,,7,1.17,25,18,72.0,2,3,3,2,25.0,,,,,,2001-2002
Liverpool,2,16,16,"1,260",,11,0.79,53,42,79.2,7,7,2,5,31.3,,,,,,2001-2002
Loko Moscow,1,8,8,540,,9,1.50,26,17,65.4,3,1,4,0,0.0,,,,,,2001-2002
Lyon,1,6,6,540,,9,1.50,24,15,62.5,3,0,3,1,16.7,,,,,,2001-2002
Mallorca,3,8,8,540,,9,1.50,26,17,65.4,4,0,4,2,25.0,,,,,,2001-2002
Manchester Utd,2,16,16,"1,440",,14,0.87,55,41,74.5,8,6,2,5,31.3,,,,,,2001-2002
Nantes,1,12,12,990,,12,1.09,46,34,73.9,3,4,5,3,25.0,,,,,,2001-2002
Olympiacos,2,6,6,540,,12,2.00,38,26,68.4,1,2,3,0,0.0,,,,,,2001-2002
Panathinaikos,1,16,16,"1,260",,14,1.00,61,47,77.0,9,2,5,4,25.0,,,,,,2001-2002
Porto,3,16,16,"1,080",,12,1.00,46,34,73.9,6,3,7,4,25.0,,,,,,2001-2002
PSV Eindhoven,3,6,6,540,,9,1.50,27,18,66.7,2,1,3,1,16.7,,,,,,2001-2002
Real Madrid,2,17,17,"1,530",,15,0.88,77,62,80.5,12,4,2,6,35.3,,,,,,2001-2002
Roma,2,12,12,"1,080",,10,0.83,44,34,77.3,3,7,2,3,25.0,,,,,,2001-2002
Rosenborg,1,8,8,540,,6,1.00,22,16,72.7,2,2,4,1,12.5,,,,,,2001-2002
Schalke 04,1,6,6,540,,9,1.50,27,18,66.7,2,0,4,1,16.7,,,,,,2001-2002
Sparta Prague,1,12,12,"1,080",,13,1.08,44,31,70.5,5,2,5,5,41.7,,,,,,2001-2002
Spartak Moscow,2,6,6,540,,16,2.67,37,21,56.8,0,2,4,0,0.0,,,,,,2001-2002
Anderlecht,2,16,16,"1,080",,26,2.17,63,37,58.7,8,2,6,3,18.8,,,,,,2000-2001
Arsenal,4,14,14,"1,260",,18,1.29,56,38,67.9,7,3,4,4,28.6,,,,,,2000-2001
Barcelona,2,6,6,540,,9,1.50,26,17,65.4,2,2,2,2,33.3,,,,,,2000-2001
Bayern Munich,2,17,17,"1,560",,12,0.69,55,43,78.2,11,5,2,7,41.2,,,,,,2000-2001
Beşiktaş,2,10,10,540,,17,2.83,42,25,59.5,4,2,4,0,0.0,,,,,,2000-2001
Dynamo Kyiv,1,8,8,540,,8,1.33,25,17,68.0,1,3,4,2,25.0,,,,,,2000-2001
Galatasaray,2,16,16,"1,260",,24,1.71,57,33,57.9,7,4,5,4,25.0,,,,,,2000-2001
Hamburger SV,1,8,8,540,,9,1.50,26,17,65.4,2,4,2,2,25.0,,,,,,2000-2001
Heerenveen,1,6,6,540,,9,1.50,33,24,72.7,1,1,4,0,0.0,,,,,,2000-2001
Helsingborg,1,10,10,540,,14,2.33,41,27,65.9,3,4,3,1,10.0,,,,,,2000-2001
Juventus,2,6,6,540,,12,2.00,27,15,55.6,1,3,2,1,16.7,,,,,,2000-2001
La Coruña,2,14,14,"1,260",,14,1.00,47,33,70.2,6,5,3,5,35.7,,,,,,2000-2001
Lazio,2,12,12,"1,080",,15,1.25,52,37,71.2,5,3,4,3,25.0,,,,,,2000-2001
Leeds United,2,18,18,"1,440",,21,1.31,71,50,70.4,8,5,5,3,16.7,,,,,,2000-2001
Leverkusen,2,6,6,540,,12,2.00,30,18,60.0,2,1,3,1,16.7,,,,,,2000-2001
Lyon,1,14,14,"1,080",,10,0.83,41,31,75.6,7,2,5,4,28.6,,,,,,2000-2001
Manchester Utd,2,14,14,"1,260",,13,0.93,53,40,75.5,6,4,4,6,42.9,,,,,,2000-2001
Milan,3,14,14,"1,080",,13,1.08,47,34,72.3,6,6,2,4,28.6,,,,,,2000-2001
Monaco,1,6,6,540,,10,1.67,34,24,70.6,2,1,3,0,0.0,,,,,,2000-2001
Olympiacos,1,6,6,540,,5,0.83,22,17,77.3,3,0,3,3,50.0,,,,,,2000-2001
Panathinaikos,2,14,14,"1,070",,15,1.26,62,47,75.8,3,5,6,3,21.4,,,,,,2000-2001
Paris S-G,1,12,12,"1,080",,19,1.58,65,46,70.8,4,3,5,2,16.7,,,,,,2000-2001
PSV Eindhoven,1,6,6,540,,9,1.50,26,17,65.4,3,0,3,1,16.7,,,,,,2000-2001
Rangers,2,10,10,540,,7,1.17,33,26,78.8,5,3,2,2,20.0,,,,,,2000-2001
Real Madrid,2,16,16,"1,440",,23,1.44,72,49,68.1,9,2,5,3,18.8,,,,,,2000-2001
Rosenborg,2,10,10,540,,15,2.50,39,24,61.5,4,3,3,0,0.0,,,,,,2000-2001
Shakhtar Donetsk,1,10,10,540,,15,2.50,35,20,57.1,5,0,5,0,0.0,,,,,,2000-2001
Sparta Prague,2,8,8,540,,13,2.17,37,24,64.9,3,0,5,0,0.0,,,,,,2000-2001
Spartak Moscow,1,12,12,"1,080",,14,1.17,41,27,65.9,5,1,6,4,33.3,,,,,,2000-2001
Sporting CP,2,6,6,540,,15,2.50,37,22,59.5,0,2,4,1,16.7,,,,,,2000-2001
Sturm Graz,2,16,16,"1,080",,25,2.08,64,39,60.9,8,2,6,3,18.8,,,,,,2000-2001
Valencia,1,19,19,"1,470",,8,0.49,41,33,80.5,10,8,2,10,52.6,,,,,,2000-2001
AIK Stockholm,2,10,10,540,,16,2.67,41,25,61.0,3,2,5,0,0.0,,,,,,1999-2000
Arsenal,2,6,6,540,,9,1.50,26,17,65.4,2,2,2,1,16.7,,,,,,1999-2000
Barcelona,2,16,16,"1,470",,23,1.41,65,42,64.6,11,3,2,3,18.8,,,,,,1999-2000
Bayern Munich,2,16,16,"1,440",,19,1.19,63,44,69.8,8,5,3,1,6.3,,,,,,1999-2000
Boavista,2,8,8,539,,10,1.67,35,25,71.4,3,2,3,2,25.0,,,,,,1999-2000
Bordeaux,2,12,12,"1,080",,18,1.50,55,37,67.3,3,5,4,4,33.3,,,,,,1999-2000
Chelsea,1,16,16,"1,290",,14,0.98,62,48,77.4,8,4,4,4,25.0,,,,,,1999-2000
Croatia Zagreb,2,8,8,540,,7,1.17,25,18,72.0,2,3,3,2,25.0,,,,,,1999-2000
Dortmund,1,8,8,540,,9,1.50,24,15,62.5,3,3,2,2,25.0,,,,,,1999-2000
Dynamo Kyiv,1,16,16,"1,080",,16,1.33,44,28,63.6,8,3,5,2,12.5,,,,,,1999-2000
