Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Porto,2,12,12,900,10.0,12,1.20,29,17,58.6,8,3,1,4,33.3,,,,,,2014-2015
Real Madrid,2,12,12,"1,080",12.0,9,0.75,46,37,80.4,8,2,2,7,58.3,,,,,,2014-2015
Roma,2,6,6,540,6.0,14,2.33,33,19,57.6,1,2,3,0,0.0,,,,,,2014-2015
Schalke 04,2,8,8,720,8.0,19,2.37,44,25,56.8,3,2,3,1,12.5,,,,,,2014-2015
Shakhtar,1,8,8,720,8.0,11,1.37,41,30,73.2,2,4,2,4,50.0,,,,,,2014-2015
Sporting CP,1,6,6,540,6.0,12,2.00,27,15,55.6,2,1,3,0,0.0,,,,,,2014-2015
Zenit,1,10,10,540,6.0,6,1.00,22,16,72.7,5,1,4,3,30.0,,,,,,2014-2015
Ajax,2,6,6,540,,8,1.33,20,12,60.0,2,2,2,2,33.3,,,,,,2013-2014
Anderlecht,2,6,6,540,,16,2.67,36,20,55.6,0,1,5,0,0.0,,,,,,2013-2014
Arsenal,2,10,10,718,,8,1.00,34,26,76.5,5,2,3,3,30.0,,,,,,2013-2014
Atlético Madrid,2,13,13,"1,200",,10,0.75,50,40,80.0,7,5,1,6,46.2,,,,,,2013-2014
Austria Wien,1,10,10,540,,10,1.67,40,30,75.0,3,4,3,1,10.0,,,,,,2013-2014
Barcelona,2,10,10,900,,8,0.80,32,24,75.0,5,3,2,3,30.0,,,,,,2013-2014
Basel,1,10,10,540,,6,1.00,31,25,80.6,4,4,2,1,10.0,,,,,,2013-2014
Bayern Munich,1,12,12,"1,080",,13,1.08,44,31,70.5,6,4,2,4,33.3,,,,,,2013-2014
Benfica,1,6,6,540,,8,1.33,25,17,68.0,3,1,2,1,16.7,,,,,,2013-2014
Celtic,1,12,12,540,,14,2.33,37,23,62.2,3,3,6,0,0.0,,,,,,2013-2014
Chelsea,2,12,12,"1,080",,10,0.83,41,31,75.6,4,5,3,7,58.3,,,,,,2013-2014
CSKA Moscow,1,6,6,540,,17,2.83,39,22,56.4,1,0,5,0,0.0,,,,,,2013-2014
Dortmund,2,10,10,900,,13,1.30,50,37,74.0,5,2,3,2,20.0,,,,,,2013-2014
FC Copenhagen,1,6,6,540,,13,2.17,48,35,72.9,1,1,4,1,16.7,,,,,,2013-2014
Galatasaray,2,8,8,720,,17,2.12,45,28,62.2,2,2,4,1,12.5,,,,,,2013-2014
Juventus,1,6,6,540,,9,1.50,29,20,69.0,1,3,2,0,0.0,,,,,,2013-2014
Leverkusen,1,8,8,720,,16,2.00,53,37,69.8,3,1,4,3,37.5,,,,,,2013-2014
Manchester City,2,8,8,720,,14,1.75,43,29,67.4,5,0,3,1,12.5,,,,,,2013-2014
Manchester Utd,1,10,10,900,,9,0.90,31,22,71.0,4,4,2,5,50.0,,,,,,2013-2014
Marseille,1,6,6,540,,14,2.33,34,20,58.8,0,0,6,0,0.0,,,,,,2013-2014
Milan,2,10,10,720,,10,1.25,39,29,74.4,2,5,3,3,30.0,,,,,,2013-2014
Napoli,2,6,6,540,,9,1.50,31,22,71.0,4,0,2,1,16.7,,,,,,2013-2014
Olympiacos,1,8,8,720,,11,1.37,41,30,73.2,4,1,3,3,37.5,,,,,,2013-2014
